
**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-14_10_02_13 	NORMAL    	Executing precommand
2016-09-14_10_02_13 	NORMAL    	Executing steps
2016-09-14_10_02_13 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-14_10_02_15 	PASS      		Step pass.
2016-09-14_10_02_15 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-14_10_02_15 	PASS      		Step pass.
2016-09-14_10_02_16 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-14_10_02_16 	PASS      		Step pass.
2016-09-14_10_02_16 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-14_10_02_16 	PASS      		Step pass.
2016-09-14_10_02_16 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-14_10_02_16 	PASS      		Step pass.
2016-09-14_10_02_16 	NORMAL    	Executing postcommand
2016-09-14_10_02_16 	NORMAL    	Executing verify
2016-09-14_10_02_16 	NORMAL    		实际测试结果：[]
2016-09-14_10_02_16 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-14_10_03_28 	NORMAL    	Executing precommand
2016-09-14_10_03_28 	NORMAL    	Executing steps
2016-09-14_10_03_28 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-14_10_03_31 	PASS      		Step pass.
2016-09-14_10_03_31 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-14_10_03_32 	PASS      		Step pass.
2016-09-14_10_03_32 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-14_10_03_32 	PASS      		Step pass.
2016-09-14_10_03_32 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-14_10_03_32 	PASS      		Step pass.
2016-09-14_10_03_32 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-14_10_03_32 	PASS      		Step pass.
2016-09-14_10_03_32 	NORMAL    	Executing postcommand
2016-09-14_10_03_32 	NORMAL    	Executing verify
2016-09-14_10_03_32 	NORMAL    		实际测试结果：[]
2016-09-14_10_03_32 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-14_10_04_27 	NORMAL    	Executing precommand
2016-09-14_10_04_27 	NORMAL    	Executing steps
2016-09-14_10_04_27 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-14_10_04_30 	PASS      		Step pass.
2016-09-14_10_04_30 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-14_10_04_31 	PASS      		Step pass.
2016-09-14_10_04_31 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-14_10_04_31 	PASS      		Step pass.
2016-09-14_10_04_31 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-14_10_04_31 	PASS      		Step pass.
2016-09-14_10_04_32 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-14_10_04_32 	PASS      		Step pass.
2016-09-14_10_04_32 	NORMAL    	Executing postcommand
2016-09-14_10_04_32 	NORMAL    	Executing verify
2016-09-14_10_04_32 	NORMAL    		实际测试结果：[]
2016-09-14_10_04_32 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-14_10_04_35 	NORMAL    	Executing precommand
2016-09-14_10_04_35 	NORMAL    	Executing steps
2016-09-14_10_04_35 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-14_10_04_38 	PASS      		Step pass.
2016-09-14_10_04_38 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-14_10_04_38 	PASS      		Step pass.
2016-09-14_10_04_38 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-14_10_04_39 	PASS      		Step pass.
2016-09-14_10_04_39 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-14_10_04_39 	PASS      		Step pass.
2016-09-14_10_04_39 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-14_10_04_39 	PASS      		Step pass.
2016-09-14_10_04_39 	NORMAL    	Executing postcommand
2016-09-14_10_04_39 	NORMAL    	Executing verify
2016-09-14_10_04_39 	NORMAL    		实际测试结果：[]
2016-09-14_10_04_39 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-14_10_05_25 	NORMAL    	Executing precommand
2016-09-14_10_05_25 	NORMAL    	Executing steps
2016-09-14_10_05_25 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-14_10_05_27 	PASS      		Step pass.
2016-09-14_10_05_27 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-14_10_05_28 	PASS      		Step pass.
2016-09-14_10_05_28 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-14_10_05_29 	PASS      		Step pass.
2016-09-14_10_05_29 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-14_10_05_29 	PASS      		Step pass.
2016-09-14_10_05_29 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-14_10_05_29 	PASS      		Step pass.
2016-09-14_10_05_29 	NORMAL    	Executing postcommand
2016-09-14_10_05_29 	NORMAL    	Executing verify
2016-09-14_10_05_29 	NORMAL    		实际测试结果：[]
2016-09-14_10_05_29 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-14_10_06_21 	NORMAL    	Executing precommand
2016-09-14_10_06_21 	NORMAL    	Executing steps
2016-09-14_10_06_21 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-14_10_06_24 	PASS      		Step pass.
2016-09-14_10_06_24 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-14_10_06_24 	PASS      		Step pass.
2016-09-14_10_06_24 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-14_10_06_25 	PASS      		Step pass.
2016-09-14_10_06_25 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-14_10_06_25 	PASS      		Step pass.
2016-09-14_10_06_25 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-14_10_06_25 	PASS      		Step pass.
2016-09-14_10_06_25 	NORMAL    	Executing postcommand
2016-09-14_10_06_25 	NORMAL    	Executing verify
2016-09-14_10_06_25 	NORMAL    		实际测试结果：[]
2016-09-14_10_06_25 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-14_10_09_22 	NORMAL    	Executing precommand
2016-09-14_10_09_22 	NORMAL    	Executing steps
