
**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-07_10_38_46 	NORMAL    	Executing precommand
2016-09-07_10_38_46 	NORMAL    	Executing steps
2016-09-07_10_38_46 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-07_10_38_48 	PASS      		Step pass.
2016-09-07_10_38_48 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-07_10_38_49 	PASS      		Step pass.
2016-09-07_10_38_49 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-07_10_38_49 	PASS      		Step pass.
2016-09-07_10_38_49 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-07_10_38_49 	PASS      		Step pass.
2016-09-07_10_38_49 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-07_10_38_50 	PASS      		Step pass.
2016-09-07_10_38_50 	NORMAL    	Executing postcommand
2016-09-07_10_38_50 	NORMAL    	Executing verify
2016-09-07_10_38_50 	NORMAL    		实际测试结果：[]
2016-09-07_10_38_50 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-07_11_51_56 	NORMAL    	Executing precommand
2016-09-07_11_51_56 	NORMAL    	Executing steps
2016-09-07_11_51_56 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-07_11_51_57 	PASS      		Step pass.
2016-09-07_11_51_57 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-07_11_51_57 	PASS      		Step pass.
2016-09-07_11_51_57 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-07_11_51_58 	PASS      		Step pass.
2016-09-07_11_51_58 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-07_11_51_58 	PASS      		Step pass.
2016-09-07_11_51_58 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-07_11_51_58 	PASS      		Step pass.
2016-09-07_11_51_58 	NORMAL    	Executing postcommand
2016-09-07_11_51_58 	NORMAL    	Executing verify
2016-09-07_11_51_58 	NORMAL    		实际测试结果：[]
2016-09-07_11_51_58 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-07_13_50_18 	NORMAL    	Executing precommand
2016-09-07_13_50_18 	NORMAL    	Executing steps
2016-09-07_13_50_18 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-07_13_50_21 	PASS      		Step pass.
2016-09-07_13_50_21 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-07_13_50_21 	PASS      		Step pass.
2016-09-07_13_50_21 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-07_13_50_22 	PASS      		Step pass.
2016-09-07_13_50_22 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-07_13_50_22 	PASS      		Step pass.
2016-09-07_13_50_22 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-07_13_50_22 	PASS      		Step pass.
2016-09-07_13_50_22 	NORMAL    	Executing postcommand
2016-09-07_13_50_22 	NORMAL    	Executing verify
2016-09-07_13_50_22 	NORMAL    		实际测试结果：[]
2016-09-07_13_50_22 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-07_14_02_38 	NORMAL    	Executing precommand
2016-09-07_14_02_38 	NORMAL    	Executing steps
2016-09-07_14_02_38 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-07_14_02_40 	PASS      		Step pass.
2016-09-07_14_02_40 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-07_14_02_40 	PASS      		Step pass.
2016-09-07_14_02_40 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-07_14_02_41 	PASS      		Step pass.
2016-09-07_14_02_41 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-07_14_02_41 	PASS      		Step pass.
2016-09-07_14_02_41 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-07_14_02_41 	PASS      		Step pass.
2016-09-07_14_02_41 	NORMAL    	Executing postcommand
2016-09-07_14_02_41 	NORMAL    	Executing verify
2016-09-07_14_02_41 	NORMAL    		实际测试结果：[]
2016-09-07_14_02_41 	PASS      		Verify complete.[前置操作]
