
**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-19_15_59_41 	NORMAL    	Executing precommand
2016-09-19_15_59_41 	NORMAL    	Executing steps
2016-09-19_15_59_41 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-19_15_59_41 	PASS      		Step pass.
2016-09-19_15_59_41 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-19_15_59_41 	PASS      		Step pass.
2016-09-19_15_59_41 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-19_15_59_41 	PASS      		Step pass.
2016-09-19_15_59_41 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-19_15_59_41 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-19_15_59_41 	NORMAL    	Executing postcommand
2016-09-19_15_59_41 	NORMAL    	Executing verify
2016-09-19_15_59_41 	NORMAL    		实际测试结果：[]
2016-09-19_15_59_41 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-19_15_59_53 	NORMAL    	Executing precommand
2016-09-19_15_59_53 	NORMAL    	Executing steps
2016-09-19_15_59_53 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-19_15_59_54 	PASS      		Step pass.
2016-09-19_15_59_54 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-19_15_59_54 	PASS      		Step pass.
2016-09-19_15_59_54 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-19_15_59_54 	PASS      		Step pass.
2016-09-19_15_59_54 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-19_15_59_54 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-19_15_59_54 	NORMAL    	Executing postcommand
2016-09-19_15_59_54 	NORMAL    	Executing verify
2016-09-19_15_59_54 	NORMAL    		实际测试结果：[]
2016-09-19_15_59_54 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-19_16_00_03 	NORMAL    	Executing precommand
2016-09-19_16_00_03 	NORMAL    	Executing steps
2016-09-19_16_00_03 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-19_16_00_04 	ERROR     	Message: Element is not clickable at point (528, 294). Other element would receive the click: <button tabindex="0" class="x-btn-text " type="button" style="position: relative; width: 69px;"></button>

2016-09-19_16_00_04 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-19_16_00_04 	PASS      		Step pass.
2016-09-19_16_00_04 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-19_16_00_04 	PASS      		Step pass.
2016-09-19_16_00_04 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-19_16_00_04 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-19_16_00_04 	NORMAL    	Executing postcommand
2016-09-19_16_00_04 	NORMAL    	Executing verify
2016-09-19_16_00_04 	NORMAL    		实际测试结果：[]
2016-09-19_16_00_04 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-19_16_00_10 	NORMAL    	Executing precommand
2016-09-19_16_00_10 	NORMAL    	Executing steps
2016-09-19_16_00_10 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-19_16_00_10 	PASS      		Step pass.
2016-09-19_16_00_10 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-19_16_00_20 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-19_16_00_20 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-19_16_00_20 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-19_16_00_20 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-19_16_00_20 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-19_16_00_20 	NORMAL    	Executing postcommand
2016-09-19_16_00_20 	NORMAL    	Executing verify
2016-09-19_16_00_20 	NORMAL    		实际测试结果：[]
2016-09-19_16_00_20 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-19_16_00_29 	NORMAL    	Executing precommand
2016-09-19_16_00_29 	NORMAL    	Executing steps
2016-09-19_16_00_29 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-19_16_00_29 	PASS      		Step pass.
2016-09-19_16_00_29 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-19_16_00_39 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-19_16_00_39 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-19_16_00_39 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-19_16_00_39 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-19_16_00_39 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-19_16_00_39 	NORMAL    	Executing postcommand
2016-09-19_16_00_39 	NORMAL    	Executing verify
2016-09-19_16_00_39 	NORMAL    		实际测试结果：[]
2016-09-19_16_00_39 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-19_16_00_58 	NORMAL    	Executing precommand
2016-09-19_16_00_58 	NORMAL    	Executing steps
2016-09-19_16_00_58 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-19_16_00_58 	PASS      		Step pass.
2016-09-19_16_00_58 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-19_16_00_59 	PASS      		Step pass.
2016-09-19_16_00_59 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-19_16_00_59 	PASS      		Step pass.
2016-09-19_16_00_59 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-19_16_00_59 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-19_16_00_59 	NORMAL    	Executing postcommand
2016-09-19_16_00_59 	NORMAL    	Executing verify
2016-09-19_16_00_59 	NORMAL    		实际测试结果：[]
2016-09-19_16_00_59 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-19_16_01_23 	NORMAL    	Executing precommand
2016-09-19_16_01_23 	NORMAL    	Executing steps
2016-09-19_16_01_23 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-19_16_01_23 	PASS      		Step pass.
2016-09-19_16_01_23 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-19_16_01_34 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-19_16_01_34 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-19_16_01_34 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-19_16_01_34 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-19_16_01_34 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-19_16_01_34 	NORMAL    	Executing postcommand
2016-09-19_16_01_34 	NORMAL    	Executing verify
2016-09-19_16_01_34 	NORMAL    		实际测试结果：[]
2016-09-19_16_01_34 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-19_16_03_00 	NORMAL    	Executing precommand
2016-09-19_16_03_00 	NORMAL    	Executing steps
2016-09-19_16_03_00 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-19_16_03_00 	PASS      		Step pass.
2016-09-19_16_03_00 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-19_16_03_01 	PASS      		Step pass.
2016-09-19_16_03_01 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-19_16_03_01 	PASS      		Step pass.
2016-09-19_16_03_01 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-19_16_03_01 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-19_16_03_01 	NORMAL    	Executing postcommand
2016-09-19_16_03_01 	NORMAL    	Executing verify
2016-09-19_16_03_01 	NORMAL    		实际测试结果：[]
2016-09-19_16_03_01 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-19_16_04_28 	NORMAL    	Executing precommand
2016-09-19_16_04_28 	NORMAL    	Executing steps
2016-09-19_16_04_28 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-19_16_04_28 	PASS      		Step pass.
2016-09-19_16_04_28 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-19_16_04_29 	PASS      		Step pass.
2016-09-19_16_04_29 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-19_16_04_29 	PASS      		Step pass.
2016-09-19_16_04_29 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-19_16_04_29 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-19_16_04_29 	NORMAL    	Executing postcommand
2016-09-19_16_04_29 	NORMAL    	Executing verify
2016-09-19_16_04_29 	NORMAL    		实际测试结果：[]
2016-09-19_16_04_29 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-19_16_05_52 	NORMAL    	Executing precommand
2016-09-19_16_05_52 	NORMAL    	Executing steps
2016-09-19_16_05_52 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-19_16_05_53 	PASS      		Step pass.
2016-09-19_16_05_53 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-19_16_05_53 	PASS      		Step pass.
2016-09-19_16_05_53 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-19_16_05_53 	PASS      		Step pass.
2016-09-19_16_05_53 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-19_16_05_53 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-19_16_05_53 	NORMAL    	Executing postcommand
2016-09-19_16_05_53 	NORMAL    	Executing verify
2016-09-19_16_05_53 	NORMAL    		实际测试结果：[]
2016-09-19_16_05_53 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-19_16_07_54 	NORMAL    	Executing precommand
2016-09-19_16_07_54 	NORMAL    	Executing steps
2016-09-19_16_07_54 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-19_16_07_54 	PASS      		Step pass.
2016-09-19_16_07_54 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-19_16_07_54 	PASS      		Step pass.
2016-09-19_16_07_54 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-19_16_07_54 	PASS      		Step pass.
2016-09-19_16_07_54 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-19_16_07_54 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-19_16_07_54 	NORMAL    	Executing postcommand
2016-09-19_16_07_54 	NORMAL    	Executing verify
2016-09-19_16_07_54 	NORMAL    		实际测试结果：[]
2016-09-19_16_07_54 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-19_16_10_39 	NORMAL    	Executing precommand
2016-09-19_16_10_40 	NORMAL    	Executing steps
2016-09-19_16_10_40 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-19_16_10_40 	PASS      		Step pass.
2016-09-19_16_10_40 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-19_16_10_50 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-19_16_10_50 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-19_16_10_50 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-19_16_10_50 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-19_16_10_50 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-19_16_10_50 	NORMAL    	Executing postcommand
2016-09-19_16_10_50 	NORMAL    	Executing verify
2016-09-19_16_10_50 	NORMAL    		实际测试结果：[]
2016-09-19_16_10_50 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-19_16_11_36 	NORMAL    	Executing precommand
2016-09-19_16_11_36 	NORMAL    	Executing steps
2016-09-19_16_11_36 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-19_16_11_36 	PASS      		Step pass.
2016-09-19_16_11_36 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-19_16_11_36 	PASS      		Step pass.
2016-09-19_16_11_36 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-19_16_11_36 	PASS      		Step pass.
2016-09-19_16_11_36 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-19_16_11_36 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-19_16_11_36 	NORMAL    	Executing postcommand
2016-09-19_16_11_36 	NORMAL    	Executing verify
2016-09-19_16_11_36 	NORMAL    		实际测试结果：[]
2016-09-19_16_11_36 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-19_16_13_35 	NORMAL    	Executing precommand
2016-09-19_16_13_35 	NORMAL    	Executing steps
2016-09-19_16_13_35 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-19_16_13_36 	PASS      		Step pass.
2016-09-19_16_13_36 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-19_16_13_36 	PASS      		Step pass.
2016-09-19_16_13_36 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-19_16_13_36 	PASS      		Step pass.
2016-09-19_16_13_36 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-19_16_13_36 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-19_16_13_36 	NORMAL    	Executing postcommand
2016-09-19_16_13_36 	NORMAL    	Executing verify
2016-09-19_16_13_36 	NORMAL    		实际测试结果：[]
2016-09-19_16_13_36 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-19_16_14_05 	NORMAL    	Executing precommand
2016-09-19_16_14_05 	NORMAL    	Executing steps
2016-09-19_16_14_05 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-19_16_14_05 	PASS      		Step pass.
2016-09-19_16_14_05 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-19_16_14_05 	PASS      		Step pass.
2016-09-19_16_14_05 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-19_16_14_05 	PASS      		Step pass.
2016-09-19_16_14_05 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-19_16_14_05 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-19_16_14_05 	NORMAL    	Executing postcommand
2016-09-19_16_14_05 	NORMAL    	Executing verify
2016-09-19_16_14_05 	NORMAL    		实际测试结果：[]
2016-09-19_16_14_05 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-19_16_14_17 	NORMAL    	Executing precommand
2016-09-19_16_14_17 	NORMAL    	Executing steps
2016-09-19_16_14_17 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-19_16_14_17 	ERROR     	Message: Element is not clickable at point (528, 295). Other element would receive the click: <button tabindex="0" class="x-btn-text " type="button" style="position: relative; width: 69px;"></button>

2016-09-19_16_14_17 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-19_16_14_17 	PASS      		Step pass.
2016-09-19_16_14_17 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-19_16_14_17 	PASS      		Step pass.
2016-09-19_16_14_17 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-19_16_14_17 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-19_16_14_17 	NORMAL    	Executing postcommand
2016-09-19_16_14_17 	NORMAL    	Executing verify
2016-09-19_16_14_17 	NORMAL    		实际测试结果：[]
2016-09-19_16_14_17 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-19_16_14_50 	NORMAL    	Executing precommand
2016-09-19_16_14_50 	NORMAL    	Executing steps
2016-09-19_16_14_50 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-19_16_14_50 	ERROR     	Message: Element is not clickable at point (528, 294). Other element would receive the click: <button tabindex="0" class="x-btn-text " type="button" style="position: relative; width: 69px;"></button>

2016-09-19_16_14_50 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-19_16_14_50 	PASS      		Step pass.
2016-09-19_16_14_50 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-19_16_14_50 	PASS      		Step pass.
2016-09-19_16_14_50 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-19_16_14_50 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-19_16_14_50 	NORMAL    	Executing postcommand
2016-09-19_16_14_50 	NORMAL    	Executing verify
2016-09-19_16_14_50 	NORMAL    		实际测试结果：[]
2016-09-19_16_14_50 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-19_16_14_54 	NORMAL    	Executing precommand
2016-09-19_16_14_54 	NORMAL    	Executing steps
2016-09-19_16_14_54 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-19_16_14_54 	ERROR     	Message: Element is not clickable at point (528, 294). Other element would receive the click: <button tabindex="0" class="x-btn-text " type="button" style="position: relative; width: 69px;"></button>

2016-09-19_16_14_54 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-19_16_14_54 	PASS      		Step pass.
2016-09-19_16_14_54 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-19_16_14_54 	PASS      		Step pass.
2016-09-19_16_14_54 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-19_16_14_54 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-19_16_14_54 	NORMAL    	Executing postcommand
2016-09-19_16_14_54 	NORMAL    	Executing verify
2016-09-19_16_14_54 	NORMAL    		实际测试结果：[]
2016-09-19_16_14_54 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-19_16_21_10 	NORMAL    	Executing precommand
2016-09-19_16_21_10 	NORMAL    	Executing steps
2016-09-19_16_21_10 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-19_16_21_10 	PASS      		Step pass.
2016-09-19_16_21_10 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-19_16_21_21 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-19_16_21_21 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-19_16_21_21 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-19_16_21_21 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-19_16_21_21 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-19_16_21_21 	NORMAL    	Executing postcommand
2016-09-19_16_21_21 	NORMAL    	Executing verify
2016-09-19_16_21_21 	NORMAL    		实际测试结果：[]
2016-09-19_16_21_21 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-19_16_25_07 	NORMAL    	Executing precommand
2016-09-19_16_25_07 	NORMAL    	Executing steps
2016-09-19_16_25_07 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-19_16_25_08 	PASS      		Step pass.
2016-09-19_16_25_08 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-19_16_25_08 	PASS      		Step pass.
2016-09-19_16_25_08 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-19_16_25_08 	PASS      		Step pass.
2016-09-19_16_25_08 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-19_16_25_08 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-19_16_25_08 	NORMAL    	Executing postcommand
2016-09-19_16_25_08 	NORMAL    	Executing verify
2016-09-19_16_25_08 	NORMAL    		实际测试结果：[]
2016-09-19_16_25_08 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-19_16_27_20 	NORMAL    	Executing precommand
2016-09-19_16_27_20 	NORMAL    	Executing steps
2016-09-19_16_27_20 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-19_16_27_20 	PASS      		Step pass.
2016-09-19_16_27_20 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-19_16_27_31 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-19_16_27_31 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-19_16_27_31 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-19_16_27_31 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-19_16_27_31 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
