
**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-12_10_05_27 	NORMAL    	Executing precommand
2016-09-12_10_05_27 	NORMAL    	Executing steps
2016-09-12_10_05_27 	NORMAL    	Executing postcommand
2016-09-12_10_05_27 	NORMAL    	Executing verify
2016-09-12_10_05_27 	NORMAL    		实际测试结果：[]
2016-09-12_10_05_27 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-12_10_06_18 	NORMAL    	Executing precommand
2016-09-12_10_06_18 	NORMAL    	Executing steps
2016-09-12_10_06_18 	NORMAL    	Executing postcommand
2016-09-12_10_06_18 	NORMAL    	Executing verify
2016-09-12_10_06_18 	NORMAL    		实际测试结果：[]
2016-09-12_10_06_18 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-12_10_10_48 	NORMAL    	Executing precommand
2016-09-12_10_10_48 	NORMAL    	Executing steps
2016-09-12_10_10_48 	NORMAL    	Executing postcommand
2016-09-12_10_10_48 	NORMAL    	Executing verify
2016-09-12_10_10_48 	NORMAL    		实际测试结果：[]
2016-09-12_10_10_48 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-12_10_30_59 	NORMAL    	Executing precommand
2016-09-12_10_30_59 	NORMAL    	Executing steps
2016-09-12_10_30_59 	NORMAL    	Executing postcommand
2016-09-12_10_30_59 	NORMAL    	Executing verify
2016-09-12_10_30_59 	NORMAL    		实际测试结果：[]
2016-09-12_10_30_59 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-12_10_44_15 	NORMAL    	Executing precommand
2016-09-12_10_44_15 	NORMAL    	Executing steps
2016-09-12_10_44_15 	NORMAL    	Executing postcommand
2016-09-12_10_44_15 	NORMAL    	Executing verify
2016-09-12_10_44_15 	NORMAL    		实际测试结果：[]
2016-09-12_10_44_15 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-12_10_53_31 	NORMAL    	Executing precommand
2016-09-12_10_53_31 	NORMAL    	Executing steps
2016-09-12_10_53_31 	NORMAL    	Executing postcommand
2016-09-12_10_53_31 	NORMAL    	Executing verify
2016-09-12_10_53_31 	NORMAL    		实际测试结果：[]
2016-09-12_10_53_31 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-12_11_00_20 	NORMAL    	Executing precommand
2016-09-12_11_00_20 	NORMAL    	Executing steps
2016-09-12_11_00_20 	NORMAL    	Executing postcommand
2016-09-12_11_00_20 	NORMAL    	Executing verify
2016-09-12_11_00_20 	NORMAL    		实际测试结果：[]
2016-09-12_11_00_20 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-12_11_09_57 	NORMAL    	Executing precommand
2016-09-12_11_09_57 	NORMAL    	Executing steps
2016-09-12_11_09_57 	NORMAL    	Executing postcommand
2016-09-12_11_09_57 	NORMAL    	Executing verify
2016-09-12_11_09_57 	NORMAL    		实际测试结果：[]
2016-09-12_11_09_57 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-12_11_41_24 	NORMAL    	Executing precommand
2016-09-12_11_41_24 	NORMAL    	Executing steps
2016-09-12_11_41_24 	NORMAL    	Executing postcommand
2016-09-12_11_41_24 	NORMAL    	Executing verify
2016-09-12_11_41_24 	NORMAL    		实际测试结果：[]
2016-09-12_11_41_24 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-12_11_42_23 	NORMAL    	Executing precommand
2016-09-12_11_42_23 	NORMAL    	Executing steps
2016-09-12_11_42_23 	NORMAL    	Executing postcommand
2016-09-12_11_42_23 	NORMAL    	Executing verify
2016-09-12_11_42_23 	NORMAL    		实际测试结果：[]
2016-09-12_11_42_23 	PASS      		Verify complete.[前置操作]
