
**************  Bruce Luo(罗科峰)'s sample test [a4[]]  ***************
2016-09-29_14_02_05 	NORMAL    	Executing precommand
2016-09-29_14_02_05 	NORMAL    	Executing steps
2016-09-29_14_02_05 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_14_02_05 	PASS      		Step pass.
2016-09-29_14_02_05 	NORMAL    	Executing postcommand
2016-09-29_14_02_05 	NORMAL    	Executing verify
2016-09-29_14_02_05 	NORMAL    		实际测试结果：[]
2016-09-29_14_02_05 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a4[]]  ***************
2016-09-29_14_07_52 	NORMAL    	Executing precommand
2016-09-29_14_07_52 	NORMAL    	Executing steps
2016-09-29_14_07_52 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_14_07_53 	PASS      		Step pass.
2016-09-29_14_07_53 	NORMAL    	Executing postcommand
2016-09-29_14_07_53 	NORMAL    	Executing verify
2016-09-29_14_07_53 	NORMAL    		实际测试结果：[]
2016-09-29_14_07_53 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a4[]]  ***************
2016-09-29_14_35_25 	NORMAL    	Executing precommand
2016-09-29_14_35_25 	NORMAL    	Executing steps
2016-09-29_14_35_25 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_14_35_25 	ERROR     	'module' object has no attribute 'WindowP'

**************  Bruce Luo(罗科峰)'s sample test [a4[]]  ***************
2016-09-29_15_21_35 	NORMAL    	Executing precommand
2016-09-29_15_21_35 	NORMAL    	Executing steps
2016-09-29_15_21_35 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_15_21_35 	PASS      		Step pass.
2016-09-29_15_21_35 	NORMAL    	Executing postcommand
2016-09-29_15_21_35 	NORMAL    	Executing verify
2016-09-29_15_21_35 	NORMAL    		实际测试结果：[]
2016-09-29_15_21_35 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a4[]]  ***************
2016-09-29_15_39_13 	NORMAL    	Executing precommand
2016-09-29_15_39_13 	NORMAL    	Executing steps
2016-09-29_15_39_13 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_15_39_13 	PASS      		Step pass.
2016-09-29_15_39_13 	NORMAL    	Executing postcommand
2016-09-29_15_39_13 	NORMAL    	Executing verify
2016-09-29_15_39_13 	NORMAL    		实际测试结果：[]
2016-09-29_15_39_13 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a4[]]  ***************
2016-09-29_15_47_55 	NORMAL    	Executing precommand
2016-09-29_15_47_55 	NORMAL    	Executing steps
2016-09-29_15_47_55 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_15_47_55 	PASS      		Step pass.
2016-09-29_15_47_55 	NORMAL    	Executing postcommand
2016-09-29_15_47_55 	NORMAL    	Executing verify
2016-09-29_15_47_55 	NORMAL    		实际测试结果：[]
2016-09-29_15_47_55 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a4[]]  ***************
2016-09-29_15_50_48 	NORMAL    	Executing precommand
2016-09-29_15_50_48 	NORMAL    	Executing steps
2016-09-29_15_50_48 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_15_50_49 	PASS      		Step pass.
2016-09-29_15_50_49 	NORMAL    	Executing postcommand
2016-09-29_15_50_49 	NORMAL    	Executing verify
2016-09-29_15_50_49 	NORMAL    		实际测试结果：[]
2016-09-29_15_50_49 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a4[]]  ***************
2016-09-29_15_53_58 	NORMAL    	Executing precommand
2016-09-29_15_53_58 	NORMAL    	Executing steps
