
**************  Bruce Luo(罗科峰)'s sample test [a3[]]  ***************
2016-09-21_16_51_54 	NORMAL    	Executing precommand
2016-09-21_16_51_54 	NORMAL    	Executing steps
2016-09-21_16_51_54 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_16_51_54 	PASS      		Step pass.
2016-09-21_16_51_54 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_16_51_55 	PASS      		Step pass.
2016-09-21_16_51_55 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-21_16_51_55 	PASS      		Step pass.
2016-09-21_16_51_55 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-21_16_51_55 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-21_16_51_55 	NORMAL    	Executing postcommand
2016-09-21_16_51_55 	NORMAL    	Executing verify
2016-09-21_16_51_55 	NORMAL    		实际测试结果：[]
2016-09-21_16_51_55 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a3[]]  ***************
2016-09-21_16_54_36 	NORMAL    	Executing precommand
2016-09-21_16_54_36 	NORMAL    	Executing steps
2016-09-21_16_54_36 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_16_54_36 	PASS      		Step pass.
2016-09-21_16_54_36 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_16_54_36 	PASS      		Step pass.
2016-09-21_16_54_36 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-21_16_54_36 	PASS      		Step pass.
2016-09-21_16_54_36 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-21_16_54_36 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-21_16_54_36 	NORMAL    	Executing postcommand
2016-09-21_16_54_36 	NORMAL    	Executing verify
2016-09-21_16_54_36 	NORMAL    		实际测试结果：[]
2016-09-21_16_54_36 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a3[]]  ***************
2016-09-21_16_56_39 	NORMAL    	Executing precommand
2016-09-21_16_56_39 	NORMAL    	Executing steps
2016-09-21_16_56_39 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_16_56_40 	PASS      		Step pass.
2016-09-21_16_56_40 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_16_56_40 	PASS      		Step pass.
2016-09-21_16_56_40 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-21_16_56_40 	PASS      		Step pass.
2016-09-21_16_56_40 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-21_16_56_40 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-21_16_56_40 	NORMAL    	Executing postcommand
2016-09-21_16_56_40 	NORMAL    	Executing verify
2016-09-21_16_56_40 	NORMAL    		实际测试结果：[]
2016-09-21_16_56_40 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a3[]]  ***************
2016-09-21_17_15_00 	NORMAL    	Executing precommand
2016-09-21_17_15_00 	NORMAL    	Executing steps
2016-09-21_17_15_01 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_17_15_01 	PASS      		Step pass.
2016-09-21_17_15_01 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_17_15_11 	ERROR     	Timeout at 10 seconds.Element(id) not found.

**************  Bruce Luo(罗科峰)'s sample test [a3[]]  ***************
2016-09-21_17_16_47 	NORMAL    	Executing precommand
2016-09-21_17_16_47 	NORMAL    	Executing steps
2016-09-21_17_16_47 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_17_16_47 	PASS      		Step pass.
2016-09-21_17_16_47 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_17_16_48 	PASS      		Step pass.
