
**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-06_11_07_25 	NORMAL    	Executing precommand
2016-09-06_11_07_25 	NORMAL    	Executing steps
2016-09-06_11_07_25 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-06_11_07_25 	PASS      		Step pass.
2016-09-06_11_07_25 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-06_11_07_36 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-06_11_07_36 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-06_11_07_36 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-06_11_07_36 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-06_11_07_36 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-06_11_07_36 	NORMAL    	Executing postcommand
2016-09-06_11_07_36 	NORMAL    	Executing verify
2016-09-06_11_07_36 	NORMAL    		实际测试结果：[]
2016-09-06_11_07_36 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-06_14_03_05 	NORMAL    	Executing precommand
2016-09-06_14_03_05 	NORMAL    	Executing steps
2016-09-06_14_03_05 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-06_14_03_05 	PASS      		Step pass.
2016-09-06_14_03_05 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-06_14_03_15 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-06_14_03_15 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-06_14_03_15 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-06_14_03_15 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-06_14_03_15 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-06_14_03_15 	NORMAL    	Executing postcommand
2016-09-06_14_03_15 	NORMAL    	Executing verify
2016-09-06_14_03_15 	NORMAL    		实际测试结果：[]
2016-09-06_14_03_15 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-06_19_45_23 	NORMAL    	Executing precommand
2016-09-06_19_45_23 	NORMAL    	Executing steps
2016-09-06_19_45_23 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-06_19_45_23 	PASS      		Step pass.
2016-09-06_19_45_24 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-06_19_45_34 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-06_19_45_34 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-06_19_45_34 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-06_19_45_34 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-06_19_45_34 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-06_19_45_34 	NORMAL    	Executing postcommand
2016-09-06_19_45_34 	NORMAL    	Executing verify
2016-09-06_19_45_34 	NORMAL    		实际测试结果：[]
2016-09-06_19_45_34 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-06_19_46_14 	NORMAL    	Executing precommand
2016-09-06_19_46_14 	NORMAL    	Executing steps
2016-09-06_19_46_14 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-06_19_46_14 	PASS      		Step pass.
2016-09-06_19_46_14 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-06_19_46_15 	PASS      		Step pass.
2016-09-06_19_46_15 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-06_19_46_15 	PASS      		Step pass.
2016-09-06_19_46_15 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-06_19_46_15 	PASS      		Step pass.
2016-09-06_19_46_15 	NORMAL    	Executing postcommand
2016-09-06_19_46_15 	NORMAL    	Executing verify
2016-09-06_19_46_15 	NORMAL    		实际测试结果：[]
2016-09-06_19_46_15 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-06_19_46_44 	NORMAL    	Executing precommand
2016-09-06_19_46_44 	NORMAL    	Executing steps
2016-09-06_19_46_44 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-06_19_46_44 	PASS      		Step pass.
2016-09-06_19_46_44 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-06_19_46_44 	PASS      		Step pass.
2016-09-06_19_46_44 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-06_19_46_44 	PASS      		Step pass.
2016-09-06_19_46_44 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-06_19_46_45 	PASS      		Step pass.
2016-09-06_19_46_45 	NORMAL    	Executing postcommand
2016-09-06_19_46_45 	NORMAL    	Executing verify
2016-09-06_19_46_45 	NORMAL    		实际测试结果：[]
2016-09-06_19_46_45 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-06_19_47_32 	NORMAL    	Executing precommand
2016-09-06_19_47_32 	NORMAL    	Executing steps
2016-09-06_19_47_32 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-06_19_47_32 	PASS      		Step pass.
2016-09-06_19_47_32 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-06_19_47_42 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-06_19_47_42 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-06_19_47_42 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-06_19_47_42 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-06_19_47_42 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
