
**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_17_59 	NORMAL    	Executing precommand
2016-09-23_11_17_59 	NORMAL    	Executing steps
2016-09-23_11_17_59 	NORMAL    	Executing postcommand
2016-09-23_11_17_59 	NORMAL    	Executing verify
2016-09-23_11_17_59 	NORMAL    		实际测试结果：[]
2016-09-23_11_17_59 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_21_05 	NORMAL    	Executing precommand
2016-09-23_11_21_05 	NORMAL    	Executing steps
2016-09-23_11_21_05 	NORMAL    	Executing postcommand
2016-09-23_11_21_05 	NORMAL    	Executing verify
2016-09-23_11_21_05 	NORMAL    		实际测试结果：[]
2016-09-23_11_21_05 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_21_45 	NORMAL    	Executing precommand
2016-09-23_11_21_45 	NORMAL    	Executing steps
2016-09-23_11_21_45 	NORMAL    	Executing postcommand
2016-09-23_11_21_45 	NORMAL    	Executing verify
2016-09-23_11_21_45 	NORMAL    		实际测试结果：[]
2016-09-23_11_21_45 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_22_16 	NORMAL    	Executing precommand
2016-09-23_11_22_16 	NORMAL    	Executing steps
2016-09-23_11_22_16 	NORMAL    	Executing postcommand
2016-09-23_11_22_16 	NORMAL    	Executing verify
2016-09-23_11_22_16 	NORMAL    		实际测试结果：[]
2016-09-23_11_22_16 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-23_11_25_02 	NORMAL    	Executing precommand
2016-09-23_11_25_02 	NORMAL    	Executing steps
2016-09-23_11_25_02 	NORMAL    	Executing postcommand
2016-09-23_11_25_02 	NORMAL    	Executing verify
2016-09-23_11_25_02 	NORMAL    		实际测试结果：[]
2016-09-23_11_25_02 	PASS      		Verify complete.[前置操作]

