
**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-20_09_59_53 	NORMAL    	Executing precommand
2016-09-20_09_59_53 	NORMAL    	Executing steps
2016-09-20_09_59_53 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-20_09_59_56 	PASS      		Step pass.
2016-09-20_09_59_56 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-20_09_59_56 	PASS      		Step pass.
2016-09-20_09_59_56 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-20_09_59_57 	PASS      		Step pass.
2016-09-20_09_59_57 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-20_09_59_57 	PASS      		Step pass.
2016-09-20_09_59_57 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-20_09_59_57 	PASS      		Step pass.
2016-09-20_09_59_57 	NORMAL    	Executing postcommand
2016-09-20_09_59_57 	NORMAL    	Executing verify
2016-09-20_09_59_57 	NORMAL    		实际测试结果：[]
2016-09-20_09_59_57 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-20_10_00_40 	NORMAL    	Executing precommand
2016-09-20_10_00_40 	NORMAL    	Executing steps
2016-09-20_10_00_40 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-20_10_00_41 	PASS      		Step pass.
2016-09-20_10_00_41 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-20_10_00_42 	PASS      		Step pass.
2016-09-20_10_00_42 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-20_10_00_42 	PASS      		Step pass.
2016-09-20_10_00_42 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-20_10_00_42 	PASS      		Step pass.
2016-09-20_10_00_42 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-20_10_00_42 	PASS      		Step pass.
2016-09-20_10_00_42 	NORMAL    	Executing postcommand
2016-09-20_10_00_42 	NORMAL    	Executing verify
2016-09-20_10_00_42 	NORMAL    		实际测试结果：[]
2016-09-20_10_00_42 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-20_10_00_51 	NORMAL    	Executing precommand
2016-09-20_10_00_51 	NORMAL    	Executing steps
2016-09-20_10_00_51 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-20_10_00_52 	PASS      		Step pass.
2016-09-20_10_00_52 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-20_10_00_52 	PASS      		Step pass.
2016-09-20_10_00_52 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-20_10_00_53 	PASS      		Step pass.
2016-09-20_10_00_53 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-20_10_00_53 	PASS      		Step pass.
2016-09-20_10_00_53 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-20_10_00_53 	PASS      		Step pass.
2016-09-20_10_00_53 	NORMAL    	Executing postcommand
2016-09-20_10_00_53 	NORMAL    	Executing verify
2016-09-20_10_00_53 	NORMAL    		实际测试结果：[]
2016-09-20_10_00_53 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-20_10_01_14 	NORMAL    	Executing precommand
2016-09-20_10_01_14 	NORMAL    	Executing steps
2016-09-20_10_01_14 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-20_10_01_16 	PASS      		Step pass.
2016-09-20_10_01_16 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-20_10_01_17 	PASS      		Step pass.
2016-09-20_10_01_17 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-20_10_01_17 	PASS      		Step pass.
2016-09-20_10_01_17 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-20_10_01_18 	PASS      		Step pass.
2016-09-20_10_01_18 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-20_10_01_18 	PASS      		Step pass.
2016-09-20_10_01_18 	NORMAL    	Executing postcommand
2016-09-20_10_01_18 	NORMAL    	Executing verify
2016-09-20_10_01_18 	NORMAL    		实际测试结果：[]
2016-09-20_10_01_18 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-20_10_01_40 	NORMAL    	Executing precommand
2016-09-20_10_01_40 	NORMAL    	Executing steps
2016-09-20_10_01_40 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-20_10_01_43 	PASS      		Step pass.
2016-09-20_10_01_43 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-20_10_01_43 	PASS      		Step pass.
2016-09-20_10_01_43 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-20_10_01_44 	PASS      		Step pass.
