
**************  Bruce Luo(罗科峰)'s sample test [5[asdf]]  ***************
2016-09-12_11_00_05 	NORMAL    	Executing precommand
2016-09-12_11_00_05 	NORMAL    	Executing steps
2016-09-12_11_00_05 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-12_11_00_07 	PASS      		Step pass.
2016-09-12_11_00_07 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-12_11_00_08 	PASS      		Step pass.
2016-09-12_11_00_08 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-12_11_00_08 	PASS      		Step pass.
2016-09-12_11_00_08 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-12_11_00_09 	PASS      		Step pass.
2016-09-12_11_00_09 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-12_11_00_09 	PASS      		Step pass.
2016-09-12_11_00_09 	NORMAL    	Executing postcommand
2016-09-12_11_00_09 	NORMAL    	Executing verify
2016-09-12_11_00_09 	NORMAL    		实际测试结果：[]
2016-09-12_11_00_09 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [5[asdf]]  ***************
2016-09-12_11_09_42 	NORMAL    	Executing precommand
2016-09-12_11_09_42 	NORMAL    	Executing steps
2016-09-12_11_09_42 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-12_11_09_44 	PASS      		Step pass.
2016-09-12_11_09_44 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-12_11_09_46 	PASS      		Step pass.
2016-09-12_11_09_46 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-12_11_09_46 	PASS      		Step pass.
2016-09-12_11_09_46 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-12_11_09_46 	PASS      		Step pass.
2016-09-12_11_09_46 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-12_11_09_46 	PASS      		Step pass.
2016-09-12_11_09_46 	NORMAL    	Executing postcommand
2016-09-12_11_09_46 	NORMAL    	Executing verify
2016-09-12_11_09_46 	NORMAL    		实际测试结果：[]
2016-09-12_11_09_46 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [5[asdf]]  ***************
2016-09-12_11_37_20 	NORMAL    	Executing precommand
2016-09-12_11_37_20 	NORMAL    	Executing steps
2016-09-12_11_37_20 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-12_11_37_22 	PASS      		Step pass.
2016-09-12_11_37_22 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-12_11_37_23 	PASS      		Step pass.
2016-09-12_11_37_23 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-12_11_37_24 	PASS      		Step pass.
2016-09-12_11_37_24 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-12_11_37_24 	PASS      		Step pass.
2016-09-12_11_37_24 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-12_11_37_24 	PASS      		Step pass.
2016-09-12_11_37_24 	NORMAL    	Executing postcommand
2016-09-12_11_37_24 	NORMAL    	Executing verify
2016-09-12_11_37_24 	NORMAL    		实际测试结果：[]
2016-09-12_11_37_24 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [5[asdf]]  ***************
2016-09-12_11_38_29 	NORMAL    	Executing precommand
2016-09-12_11_38_29 	NORMAL    	Executing steps
2016-09-12_11_38_29 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-12_11_38_31 	PASS      		Step pass.
2016-09-12_11_38_31 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-12_11_38_32 	PASS      		Step pass.
2016-09-12_11_38_32 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-12_11_38_33 	PASS      		Step pass.
2016-09-12_11_38_33 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-12_11_38_33 	PASS      		Step pass.
2016-09-12_11_38_33 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-12_11_38_33 	PASS      		Step pass.
2016-09-12_11_38_33 	NORMAL    	Executing postcommand
2016-09-12_11_38_33 	NORMAL    	Executing verify
2016-09-12_11_38_33 	NORMAL    		实际测试结果：[]
2016-09-12_11_38_33 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [5[asdf]]  ***************
2016-09-12_11_38_46 	NORMAL    	Executing precommand
2016-09-12_11_38_46 	NORMAL    	Executing steps
2016-09-12_11_38_46 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-12_11_38_48 	PASS      		Step pass.

**************  Bruce Luo(罗科峰)'s sample test [5[asdf]]  ***************
2016-09-12_11_40_21 	NORMAL    	Executing precommand
2016-09-12_11_40_21 	NORMAL    	Executing steps
2016-09-12_11_40_21 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-12_11_40_23 	PASS      		Step pass.
2016-09-12_11_40_23 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-12_11_40_24 	PASS      		Step pass.
2016-09-12_11_40_24 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-12_11_40_24 	PASS      		Step pass.
2016-09-12_11_40_24 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-12_11_40_24 	PASS      		Step pass.
2016-09-12_11_40_24 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-12_11_40_24 	PASS      		Step pass.
2016-09-12_11_40_25 	NORMAL    	Executing postcommand
2016-09-12_11_40_25 	NORMAL    	Executing verify
2016-09-12_11_40_25 	NORMAL    		实际测试结果：[]
2016-09-12_11_40_25 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [5[asdf]]  ***************
2016-09-12_11_41_09 	NORMAL    	Executing precommand
2016-09-12_11_41_09 	NORMAL    	Executing steps
2016-09-12_11_41_09 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-12_11_41_11 	PASS      		Step pass.
2016-09-12_11_41_11 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-12_11_41_12 	PASS      		Step pass.
2016-09-12_11_41_12 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-12_11_41_12 	PASS      		Step pass.
2016-09-12_11_41_12 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-12_11_41_13 	PASS      		Step pass.
2016-09-12_11_41_13 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-12_11_41_13 	PASS      		Step pass.
2016-09-12_11_41_13 	NORMAL    	Executing postcommand
2016-09-12_11_41_13 	NORMAL    	Executing verify
2016-09-12_11_41_13 	NORMAL    		实际测试结果：[]
2016-09-12_11_41_13 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [5[asdf]]  ***************
2016-09-12_11_42_17 	NORMAL    	Executing precommand
2016-09-12_11_42_17 	NORMAL    	Executing steps
2016-09-12_11_42_17 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-12_11_42_19 	PASS      		Step pass.
2016-09-12_11_42_20 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-12_11_42_20 	PASS      		Step pass.
2016-09-12_11_42_20 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-12_11_42_21 	PASS      		Step pass.
2016-09-12_11_42_21 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-12_11_42_21 	PASS      		Step pass.
2016-09-12_11_42_21 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-12_11_42_21 	PASS      		Step pass.
2016-09-12_11_42_22 	NORMAL    	Executing postcommand
2016-09-12_11_42_22 	NORMAL    	Executing verify
2016-09-12_11_42_22 	NORMAL    		实际测试结果：[]
2016-09-12_11_42_22 	PASS      		Verify complete.[前置操作]
