
**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_15_05_24 	NORMAL    	Executing precommand
2016-09-13_15_05_24 	NORMAL    	Executing steps
2016-09-13_15_05_24 	NORMAL    	Executing postcommand
2016-09-13_15_05_24 	NORMAL    	Executing verify
2016-09-13_15_05_24 	NORMAL    		实际测试结果：[]
2016-09-13_15_05_24 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_15_12_08 	NORMAL    	Executing precommand
2016-09-13_15_12_08 	NORMAL    	Executing steps
2016-09-13_15_12_08 	NORMAL    	Executing postcommand
2016-09-13_15_12_08 	NORMAL    	Executing verify
2016-09-13_15_12_08 	NORMAL    		实际测试结果：[]
2016-09-13_15_12_08 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_15_12_47 	NORMAL    	Executing precommand
2016-09-13_15_12_47 	NORMAL    	Executing steps
2016-09-13_15_12_47 	NORMAL    	Executing postcommand
2016-09-13_15_12_47 	NORMAL    	Executing verify
2016-09-13_15_12_47 	NORMAL    		实际测试结果：[]
2016-09-13_15_12_47 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_15_29_20 	NORMAL    	Executing precommand
2016-09-13_15_29_20 	NORMAL    	Executing steps
2016-09-13_15_29_20 	NORMAL    	Executing postcommand
2016-09-13_15_29_20 	NORMAL    	Executing verify
2016-09-13_15_29_20 	NORMAL    		实际测试结果：[]
2016-09-13_15_29_20 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_15_30_29 	NORMAL    	Executing precommand
2016-09-13_15_30_29 	NORMAL    	Executing steps
2016-09-13_15_30_29 	NORMAL    	Executing postcommand
2016-09-13_15_30_29 	NORMAL    	Executing verify
2016-09-13_15_30_29 	NORMAL    		实际测试结果：[]
2016-09-13_15_30_29 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_15_38_30 	NORMAL    	Executing precommand
2016-09-13_15_38_30 	NORMAL    	Executing steps
2016-09-13_15_38_30 	NORMAL    	Executing postcommand
2016-09-13_15_38_30 	NORMAL    	Executing verify
2016-09-13_15_38_30 	NORMAL    		实际测试结果：[]
2016-09-13_15_38_30 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_16_16_05 	NORMAL    	Executing precommand
2016-09-13_16_16_05 	NORMAL    	Executing steps
2016-09-13_16_16_05 	NORMAL    	Executing postcommand
2016-09-13_16_16_05 	NORMAL    	Executing verify
2016-09-13_16_16_05 	NORMAL    		实际测试结果：[]
2016-09-13_16_16_05 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_16_21_46 	NORMAL    	Executing precommand
2016-09-13_16_21_46 	NORMAL    	Executing steps
2016-09-13_16_21_46 	NORMAL    	Executing postcommand
2016-09-13_16_21_46 	NORMAL    	Executing verify
2016-09-13_16_21_46 	NORMAL    		实际测试结果：[]
2016-09-13_16_21_46 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_16_25_11 	NORMAL    	Executing precommand
2016-09-13_16_25_11 	NORMAL    	Executing steps
2016-09-13_16_25_11 	NORMAL    	Executing postcommand
2016-09-13_16_25_11 	NORMAL    	Executing verify
2016-09-13_16_25_11 	NORMAL    		实际测试结果：[]
2016-09-13_16_25_11 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_16_26_30 	NORMAL    	Executing precommand
2016-09-13_16_26_30 	NORMAL    	Executing steps
2016-09-13_16_26_30 	NORMAL    	Executing postcommand
2016-09-13_16_26_30 	NORMAL    	Executing verify
2016-09-13_16_26_30 	NORMAL    		实际测试结果：[]
2016-09-13_16_26_30 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_16_29_12 	NORMAL    	Executing precommand
2016-09-13_16_29_12 	NORMAL    	Executing steps
2016-09-13_16_29_12 	NORMAL    	Executing postcommand
2016-09-13_16_29_12 	NORMAL    	Executing verify
2016-09-13_16_29_12 	NORMAL    		实际测试结果：[]
2016-09-13_16_29_12 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_16_29_21 	NORMAL    	Executing precommand
2016-09-13_16_29_21 	NORMAL    	Executing steps
2016-09-13_16_29_21 	NORMAL    	Executing postcommand
2016-09-13_16_29_21 	NORMAL    	Executing verify
2016-09-13_16_29_21 	NORMAL    		实际测试结果：[]
2016-09-13_16_29_21 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_16_30_26 	NORMAL    	Executing precommand
2016-09-13_16_30_26 	NORMAL    	Executing steps
2016-09-13_16_30_26 	NORMAL    	Executing postcommand
2016-09-13_16_30_26 	NORMAL    	Executing verify
2016-09-13_16_30_26 	NORMAL    		实际测试结果：[]
2016-09-13_16_30_26 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_16_30_31 	NORMAL    	Executing precommand
2016-09-13_16_30_31 	NORMAL    	Executing steps
2016-09-13_16_30_31 	NORMAL    	Executing postcommand
2016-09-13_16_30_31 	NORMAL    	Executing verify
2016-09-13_16_30_31 	NORMAL    		实际测试结果：[]
2016-09-13_16_30_31 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-13_16_31_00 	NORMAL    	Executing precommand
2016-09-13_16_31_00 	NORMAL    	Executing steps
2016-09-13_16_31_00 	NORMAL    	Executing postcommand
2016-09-13_16_31_00 	NORMAL    	Executing verify
2016-09-13_16_31_00 	NORMAL    		实际测试结果：[]
2016-09-13_16_31_00 	PASS      		Verify complete.[前置操作]

