
**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-29_14_02_47 	NORMAL    	Executing precommand
2016-09-29_14_02_47 	NORMAL    	Executing steps
2016-09-29_14_02_47 	NORMAL    	Executing postcommand
2016-09-29_14_02_47 	NORMAL    	Executing verify
2016-09-29_14_02_47 	NORMAL    		实际测试结果：[]
2016-09-29_14_02_47 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-29_15_47_56 	NORMAL    	Executing precommand
2016-09-29_15_47_56 	NORMAL    	Executing steps
2016-09-29_15_47_56 	NORMAL    	Executing postcommand
2016-09-29_15_47_56 	NORMAL    	Executing verify
2016-09-29_15_47_56 	NORMAL    		实际测试结果：[]
2016-09-29_15_47_56 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-29_15_50_50 	NORMAL    	Executing precommand
2016-09-29_15_50_50 	NORMAL    	Executing steps
2016-09-29_15_50_50 	NORMAL    	Executing postcommand
2016-09-29_15_50_50 	NORMAL    	Executing verify
2016-09-29_15_50_50 	NORMAL    		实际测试结果：[]
2016-09-29_15_50_50 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-29_15_53_59 	NORMAL    	Executing precommand
2016-09-29_15_53_59 	NORMAL    	Executing steps
2016-09-29_15_53_59 	NORMAL    	Executing postcommand
2016-09-29_15_53_59 	NORMAL    	Executing verify
2016-09-29_15_53_59 	NORMAL    		实际测试结果：[]
2016-09-29_15_53_59 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-29_15_55_26 	NORMAL    	Executing precommand
2016-09-29_15_55_26 	NORMAL    	Executing steps
2016-09-29_15_55_26 	NORMAL    	Executing postcommand
2016-09-29_15_55_26 	NORMAL    	Executing verify
2016-09-29_15_55_26 	NORMAL    		实际测试结果：[]
2016-09-29_15_55_26 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-29_16_06_05 	NORMAL    	Executing precommand
2016-09-29_16_06_05 	NORMAL    	Executing steps
2016-09-29_16_06_05 	NORMAL    	Executing postcommand
2016-09-29_16_06_05 	NORMAL    	Executing verify
2016-09-29_16_06_05 	NORMAL    		实际测试结果：[]
2016-09-29_16_06_05 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-29_16_07_00 	NORMAL    	Executing precommand
2016-09-29_16_07_00 	NORMAL    	Executing steps
2016-09-29_16_07_00 	NORMAL    	Executing postcommand
2016-09-29_16_07_00 	NORMAL    	Executing verify
2016-09-29_16_07_00 	NORMAL    		实际测试结果：[]
2016-09-29_16_07_00 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-29_16_08_07 	NORMAL    	Executing precommand
2016-09-29_16_08_07 	NORMAL    	Executing steps
2016-09-29_16_08_07 	NORMAL    	Executing postcommand
2016-09-29_16_08_07 	NORMAL    	Executing verify
2016-09-29_16_08_07 	NORMAL    		实际测试结果：[]
2016-09-29_16_08_07 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-29_16_09_07 	NORMAL    	Executing precommand
2016-09-29_16_09_07 	NORMAL    	Executing steps
2016-09-29_16_09_07 	NORMAL    	Executing postcommand
2016-09-29_16_09_07 	NORMAL    	Executing verify
2016-09-29_16_09_07 	NORMAL    		实际测试结果：[]
