
**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-07_10_38_46 	NORMAL    	Executing precommand
2016-09-07_10_38_46 	NORMAL    	Executing steps
2016-09-07_10_38_46 	NORMAL    	Executing postcommand
2016-09-07_10_38_46 	NORMAL    	Executing verify
2016-09-07_10_38_46 	NORMAL    		实际测试结果：[]
2016-09-07_10_38_46 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-07_11_51_56 	NORMAL    	Executing precommand
2016-09-07_11_51_56 	NORMAL    	Executing steps
2016-09-07_11_51_56 	NORMAL    	Executing postcommand
2016-09-07_11_51_56 	NORMAL    	Executing verify
2016-09-07_11_51_56 	NORMAL    		实际测试结果：[]
2016-09-07_11_51_56 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-07_13_50_18 	NORMAL    	Executing precommand
2016-09-07_13_50_18 	NORMAL    	Executing steps
2016-09-07_13_50_18 	NORMAL    	Executing postcommand
2016-09-07_13_50_18 	NORMAL    	Executing verify
2016-09-07_13_50_18 	NORMAL    		实际测试结果：[]
2016-09-07_13_50_18 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-07_13_50_48 	NORMAL    	Executing precommand
2016-09-07_13_50_48 	NORMAL    	Executing steps
2016-09-07_13_50_48 	NORMAL    	Executing postcommand
2016-09-07_13_50_48 	NORMAL    	Executing verify
2016-09-07_13_50_48 	NORMAL    		实际测试结果：[]
2016-09-07_13_50_48 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-07_14_02_38 	NORMAL    	Executing precommand
2016-09-07_14_02_38 	NORMAL    	Executing steps
2016-09-07_14_02_38 	NORMAL    	Executing postcommand
2016-09-07_14_02_38 	NORMAL    	Executing verify
2016-09-07_14_02_38 	NORMAL    		实际测试结果：[]
2016-09-07_14_02_38 	PASS      		Verify complete.[前置操作]
