
**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-30_09_43_36 	NORMAL    	Executing precommand
2016-09-30_09_43_36 	NORMAL    	Executing steps
2016-09-30_09_43_36 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")
2016-09-30_09_43_50 	PASS      		Step pass.
2016-09-30_09_43_50 	NORMAL    	Executing postcommand
2016-09-30_09_43_50 	NORMAL    	Executing verify
2016-09-30_09_43_50 	NORMAL    		实际测试结果：[]
2016-09-30_09_43_50 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-30_09_45_29 	NORMAL    	Executing precommand
2016-09-30_09_45_29 	NORMAL    	Executing steps
2016-09-30_09_45_29 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")
2016-09-30_09_45_29 	PASS      		Step pass.
2016-09-30_09_45_29 	NORMAL    	Executing postcommand
2016-09-30_09_45_29 	NORMAL    	Executing verify
2016-09-30_09_45_29 	NORMAL    		实际测试结果：[]
2016-09-30_09_45_29 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-30_10_50_18 	NORMAL    	Executing precommand
2016-09-30_10_50_18 	NORMAL    	Executing steps
2016-09-30_10_50_18 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")

**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-30_10_50_57 	NORMAL    	Executing precommand
2016-09-30_10_50_57 	NORMAL    	Executing steps
2016-09-30_10_50_57 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")
2016-09-30_10_50_58 	PASS      		Step pass.
2016-09-30_10_50_58 	NORMAL    	Executing postcommand
2016-09-30_10_50_58 	NORMAL    	Executing verify
2016-09-30_10_50_58 	NORMAL    		实际测试结果：[]
2016-09-30_10_50_58 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-30_11_01_26 	NORMAL    	Executing precommand
2016-09-30_11_01_26 	NORMAL    	Executing steps
