
**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-12_10_05_27 	NORMAL    	Executing precommand
2016-09-12_10_05_27 	NORMAL    	Executing steps
2016-09-12_10_05_27 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-12_10_05_30 	PASS      		Step pass.
2016-09-12_10_05_30 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-12_10_05_30 	PASS      		Step pass.
2016-09-12_10_05_30 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-12_10_05_31 	PASS      		Step pass.
2016-09-12_10_05_31 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-12_10_05_31 	PASS      		Step pass.
2016-09-12_10_05_31 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-12_10_05_31 	PASS      		Step pass.
2016-09-12_10_05_31 	NORMAL    	Executing postcommand
2016-09-12_10_05_31 	NORMAL    	Executing verify
2016-09-12_10_05_31 	NORMAL    		实际测试结果：[]
2016-09-12_10_05_31 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-12_10_06_18 	NORMAL    	Executing precommand
2016-09-12_10_06_18 	NORMAL    	Executing steps
2016-09-12_10_06_18 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-12_10_06_20 	PASS      		Step pass.
2016-09-12_10_06_20 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-12_10_06_21 	PASS      		Step pass.
2016-09-12_10_06_21 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-12_10_06_21 	PASS      		Step pass.
2016-09-12_10_06_21 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-12_10_06_21 	PASS      		Step pass.
2016-09-12_10_06_21 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-12_10_06_21 	PASS      		Step pass.
2016-09-12_10_06_21 	NORMAL    	Executing postcommand
2016-09-12_10_06_21 	NORMAL    	Executing verify
2016-09-12_10_06_21 	NORMAL    		实际测试结果：[]
2016-09-12_10_06_21 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-12_10_44_15 	NORMAL    	Executing precommand
2016-09-12_10_44_15 	NORMAL    	Executing steps
2016-09-12_10_44_15 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-12_10_44_17 	PASS      		Step pass.
2016-09-12_10_44_17 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-12_10_44_18 	PASS      		Step pass.
2016-09-12_10_44_18 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-12_10_44_18 	PASS      		Step pass.
2016-09-12_10_44_18 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-12_10_44_18 	PASS      		Step pass.
2016-09-12_10_44_18 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-12_10_44_18 	PASS      		Step pass.
2016-09-12_10_44_18 	NORMAL    	Executing postcommand
2016-09-12_10_44_18 	NORMAL    	Executing verify
2016-09-12_10_44_18 	NORMAL    		实际测试结果：[]
2016-09-12_10_44_18 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-12_10_53_31 	NORMAL    	Executing precommand
2016-09-12_10_53_31 	NORMAL    	Executing steps
2016-09-12_10_53_31 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-12_10_53_33 	PASS      		Step pass.
2016-09-12_10_53_33 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-12_10_53_34 	PASS      		Step pass.
2016-09-12_10_53_34 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-12_10_53_34 	PASS      		Step pass.
2016-09-12_10_53_34 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-12_10_53_34 	PASS      		Step pass.
2016-09-12_10_53_34 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-12_10_53_35 	PASS      		Step pass.
2016-09-12_10_53_35 	NORMAL    	Executing postcommand
2016-09-12_10_53_35 	NORMAL    	Executing verify
2016-09-12_10_53_35 	NORMAL    		实际测试结果：[]
2016-09-12_10_53_35 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-12_11_00_20 	NORMAL    	Executing precommand
2016-09-12_11_00_20 	NORMAL    	Executing steps
2016-09-12_11_00_20 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-12_11_00_22 	PASS      		Step pass.
2016-09-12_11_00_23 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-12_11_00_23 	PASS      		Step pass.
2016-09-12_11_00_23 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-12_11_00_23 	PASS      		Step pass.
2016-09-12_11_00_24 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-12_11_00_24 	PASS      		Step pass.
2016-09-12_11_00_24 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-12_11_00_24 	PASS      		Step pass.
2016-09-12_11_00_24 	NORMAL    	Executing postcommand
2016-09-12_11_00_24 	NORMAL    	Executing verify
2016-09-12_11_00_24 	NORMAL    		实际测试结果：[]
2016-09-12_11_00_24 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-12_11_09_57 	NORMAL    	Executing precommand
2016-09-12_11_09_57 	NORMAL    	Executing steps
2016-09-12_11_09_57 	STEP      		Step_1_info->Browser.Init("firefox")

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-12_11_41_24 	NORMAL    	Executing precommand
2016-09-12_11_41_24 	NORMAL    	Executing steps
2016-09-12_11_41_24 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-12_11_41_26 	PASS      		Step pass.
2016-09-12_11_41_26 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-12_11_41_27 	PASS      		Step pass.
2016-09-12_11_41_27 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-12_11_41_27 	PASS      		Step pass.
2016-09-12_11_41_27 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-12_11_41_27 	PASS      		Step pass.
2016-09-12_11_41_28 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-12_11_41_28 	PASS      		Step pass.
2016-09-12_11_41_28 	NORMAL    	Executing postcommand
2016-09-12_11_41_28 	NORMAL    	Executing verify
2016-09-12_11_41_28 	NORMAL    		实际测试结果：[]
2016-09-12_11_41_28 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-12_11_42_23 	NORMAL    	Executing precommand
2016-09-12_11_42_23 	NORMAL    	Executing steps
2016-09-12_11_42_23 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-12_11_42_25 	PASS      		Step pass.
2016-09-12_11_42_25 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-12_11_42_26 	PASS      		Step pass.
2016-09-12_11_42_26 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-12_11_42_26 	PASS      		Step pass.
2016-09-12_11_42_27 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-12_11_42_27 	PASS      		Step pass.
2016-09-12_11_42_27 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-12_11_42_27 	PASS      		Step pass.
2016-09-12_11_42_27 	NORMAL    	Executing postcommand
2016-09-12_11_42_27 	NORMAL    	Executing verify
2016-09-12_11_42_27 	NORMAL    		实际测试结果：[]
2016-09-12_11_42_27 	PASS      		Verify complete.[前置操作]
