
**************  Bruce Luo(罗科峰)'s sample test [a2[]]  ***************
2016-09-29_14_53_13 	NORMAL    	Executing precommand
2016-09-29_14_53_13 	NORMAL    	Executing steps
2016-09-29_14_53_13 	NORMAL    	Executing postcommand
2016-09-29_14_53_13 	NORMAL    	Executing verify
2016-09-29_14_53_13 	NORMAL    		实际测试结果：[]
2016-09-29_14_53_13 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a2[]]  ***************
2016-09-29_14_54_53 	NORMAL    	Executing precommand
2016-09-29_14_54_53 	NORMAL    	Executing steps
2016-09-29_14_54_53 	STEP      		Step_1_info->Login.TextUserName.TypeInWin("Hello MUIA.")
2016-09-29_14_54_53 	ERROR     	'module' object has no attribute 'Login'

**************  Bruce Luo(罗科峰)'s sample test [a2[]]  ***************
2016-09-29_14_55_57 	NORMAL    	Executing precommand
2016-09-29_14_55_57 	NORMAL    	Executing steps
2016-09-29_14_55_57 	STEP      		Step_1_info->Login.TextUserName.TypeInWin("Hello MUIA.")
2016-09-29_14_55_57 	ERROR     	'module' object has no attribute 'Login'

**************  Bruce Luo(罗科峰)'s sample test [a2[]]  ***************
2016-09-29_14_57_36 	NORMAL    	Executing precommand
2016-09-29_14_57_36 	NORMAL    	Executing steps
2016-09-29_14_57_36 	STEP      		Step_1_info->Login.TextUserName.TypeInWin("Hello MUIA.")
2016-09-29_14_57_36 	ERROR     	'module' object has no attribute 'Login'

**************  Bruce Luo(罗科峰)'s sample test [a2[]]  ***************
2016-09-29_14_58_37 	NORMAL    	Executing precommand
2016-09-29_14_58_37 	NORMAL    	Executing steps
2016-09-29_14_58_37 	STEP      		Step_1_info->Login.TextUserName.TypeInWin("Hello MUIA.")
2016-09-29_14_58_37 	ERROR     	'module' object has no attribute 'Login'

**************  Bruce Luo(罗科峰)'s sample test [a2[]]  ***************
2016-09-29_14_59_46 	NORMAL    	Executing precommand
2016-09-29_14_59_46 	NORMAL    	Executing steps
2016-09-29_14_59_46 	STEP      		Step_1_info->Login.TextUserName.TypeInWin("Hello MUIA.")
2016-09-29_14_59_46 	ERROR     	'module' object has no attribute 'Login'

**************  Bruce Luo(罗科峰)'s sample test [a2[]]  ***************
2016-09-29_15_01_31 	NORMAL    	Executing precommand
2016-09-29_15_01_31 	NORMAL    	Executing steps
2016-09-29_15_01_31 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")
2016-09-29_15_01_39 	PASS      		Step pass.
2016-09-29_15_01_39 	NORMAL    	Executing postcommand
2016-09-29_15_01_39 	NORMAL    	Executing verify
2016-09-29_15_01_39 	NORMAL    		实际测试结果：[]
2016-09-29_15_01_39 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a2[]]  ***************
2016-09-29_15_02_03 	NORMAL    	Executing precommand
2016-09-29_15_02_03 	NORMAL    	Executing steps
2016-09-29_15_02_03 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")
