
**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_09_59_53 	NORMAL    	Executing precommand
2016-09-20_09_59_53 	NORMAL    	Executing steps
2016-09-20_09_59_53 	NORMAL    	Executing postcommand
2016-09-20_09_59_53 	NORMAL    	Executing verify
2016-09-20_09_59_53 	NORMAL    		实际测试结果：[]
2016-09-20_09_59_53 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_00_40 	NORMAL    	Executing precommand
2016-09-20_10_00_40 	NORMAL    	Executing steps
2016-09-20_10_00_40 	NORMAL    	Executing postcommand
2016-09-20_10_00_40 	NORMAL    	Executing verify
2016-09-20_10_00_40 	NORMAL    		实际测试结果：[]
2016-09-20_10_00_40 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_00_50 	NORMAL    	Executing precommand
2016-09-20_10_00_50 	NORMAL    	Executing steps
2016-09-20_10_00_50 	NORMAL    	Executing postcommand
2016-09-20_10_00_50 	NORMAL    	Executing verify
2016-09-20_10_00_50 	NORMAL    		实际测试结果：[]
2016-09-20_10_00_50 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_01_14 	NORMAL    	Executing precommand
2016-09-20_10_01_14 	NORMAL    	Executing steps
2016-09-20_10_01_14 	NORMAL    	Executing postcommand
2016-09-20_10_01_14 	NORMAL    	Executing verify
2016-09-20_10_01_14 	NORMAL    		实际测试结果：[]
2016-09-20_10_01_14 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_01_40 	NORMAL    	Executing precommand
2016-09-20_10_01_40 	NORMAL    	Executing steps
2016-09-20_10_01_40 	NORMAL    	Executing postcommand
2016-09-20_10_01_40 	NORMAL    	Executing verify
2016-09-20_10_01_40 	NORMAL    		实际测试结果：[]
2016-09-20_10_01_40 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_02_00 	NORMAL    	Executing precommand
2016-09-20_10_02_00 	NORMAL    	Executing steps
2016-09-20_10_02_00 	NORMAL    	Executing postcommand
2016-09-20_10_02_00 	NORMAL    	Executing verify
2016-09-20_10_02_00 	NORMAL    		实际测试结果：[]
2016-09-20_10_02_00 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_03_54 	NORMAL    	Executing precommand
2016-09-20_10_03_54 	NORMAL    	Executing steps
2016-09-20_10_03_54 	NORMAL    	Executing postcommand
2016-09-20_10_03_54 	NORMAL    	Executing verify
2016-09-20_10_03_54 	NORMAL    		实际测试结果：[]
2016-09-20_10_03_54 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_08_45 	NORMAL    	Executing precommand
2016-09-20_10_08_45 	NORMAL    	Executing steps
2016-09-20_10_08_45 	NORMAL    	Executing postcommand
2016-09-20_10_08_45 	NORMAL    	Executing verify
2016-09-20_10_08_45 	NORMAL    		实际测试结果：[]
2016-09-20_10_08_45 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_08_52 	NORMAL    	Executing precommand
2016-09-20_10_08_52 	NORMAL    	Executing steps
2016-09-20_10_08_52 	NORMAL    	Executing postcommand
2016-09-20_10_08_52 	NORMAL    	Executing verify
2016-09-20_10_08_52 	NORMAL    		实际测试结果：[]
2016-09-20_10_08_52 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_08_57 	NORMAL    	Executing precommand
2016-09-20_10_08_57 	NORMAL    	Executing steps
2016-09-20_10_08_57 	NORMAL    	Executing postcommand
2016-09-20_10_08_57 	NORMAL    	Executing verify
2016-09-20_10_08_57 	NORMAL    		实际测试结果：[]
2016-09-20_10_08_57 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_09_13 	NORMAL    	Executing precommand
2016-09-20_10_09_13 	NORMAL    	Executing steps
2016-09-20_10_09_13 	NORMAL    	Executing postcommand
2016-09-20_10_09_13 	NORMAL    	Executing verify
2016-09-20_10_09_13 	NORMAL    		实际测试结果：[]
2016-09-20_10_09_13 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_11_58 	NORMAL    	Executing precommand
2016-09-20_10_11_58 	NORMAL    	Executing steps
2016-09-20_10_11_58 	NORMAL    	Executing postcommand
2016-09-20_10_11_58 	NORMAL    	Executing verify
2016-09-20_10_11_58 	NORMAL    		实际测试结果：[]
2016-09-20_10_11_58 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-20_10_12_04 	NORMAL    	Executing precommand
2016-09-20_10_12_04 	NORMAL    	Executing steps
2016-09-20_10_12_04 	NORMAL    	Executing postcommand
2016-09-20_10_12_04 	NORMAL    	Executing verify
