
**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-05_15_33_29 	NORMAL    	Executing precommand
2016-09-05_15_33_29 	NORMAL    	Executing steps
2016-09-05_15_33_29 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-05_15_33_32 	PASS      		Step pass.
2016-09-05_15_33_32 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-05_15_33_32 	PASS      		Step pass.
2016-09-05_15_33_32 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-05_15_33_33 	PASS      		Step pass.
2016-09-05_15_33_33 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-05_15_33_33 	PASS      		Step pass.
2016-09-05_15_33_33 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-05_15_33_33 	PASS      		Step pass.
2016-09-05_15_33_33 	NORMAL    	Executing postcommand
2016-09-05_15_33_33 	NORMAL    	Executing verify
2016-09-05_15_33_33 	NORMAL    		实际测试结果：[]
2016-09-05_15_33_33 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-05_15_48_19 	NORMAL    	Executing precommand
2016-09-05_15_48_19 	NORMAL    	Executing steps
2016-09-05_15_48_19 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-05_15_48_22 	PASS      		Step pass.
2016-09-05_15_48_22 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-05_15_48_22 	PASS      		Step pass.
2016-09-05_15_48_22 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-05_15_48_23 	PASS      		Step pass.
2016-09-05_15_48_23 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-05_15_48_23 	PASS      		Step pass.
2016-09-05_15_48_23 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-05_15_48_23 	PASS      		Step pass.
2016-09-05_15_48_23 	NORMAL    	Executing postcommand
2016-09-05_15_48_23 	NORMAL    	Executing verify
2016-09-05_15_48_23 	NORMAL    		实际测试结果：[]
2016-09-05_15_48_23 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-05_15_53_53 	NORMAL    	Executing precommand
2016-09-05_15_53_53 	NORMAL    	Executing steps
2016-09-05_15_53_53 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-05_15_53_54 	PASS      		Step pass.
2016-09-05_15_53_54 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-05_15_53_54 	PASS      		Step pass.
2016-09-05_15_53_54 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-05_15_53_55 	PASS      		Step pass.
2016-09-05_15_53_55 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-05_15_53_55 	PASS      		Step pass.
2016-09-05_15_53_55 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-05_15_53_55 	PASS      		Step pass.
2016-09-05_15_53_55 	NORMAL    	Executing postcommand
2016-09-05_15_53_55 	NORMAL    	Executing verify
2016-09-05_15_53_55 	NORMAL    		实际测试结果：[]
2016-09-05_15_53_55 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-05_16_03_32 	NORMAL    	Executing precommand
2016-09-05_16_03_32 	NORMAL    	Executing steps
2016-09-05_16_03_32 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-05_16_03_34 	PASS      		Step pass.
2016-09-05_16_03_34 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-05_16_03_35 	PASS      		Step pass.
2016-09-05_16_03_35 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-05_16_03_35 	PASS      		Step pass.
2016-09-05_16_03_35 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-05_16_03_36 	PASS      		Step pass.
2016-09-05_16_03_36 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-05_16_03_36 	PASS      		Step pass.
2016-09-05_16_03_36 	NORMAL    	Executing postcommand
2016-09-05_16_03_36 	NORMAL    	Executing verify
2016-09-05_16_03_36 	NORMAL    		实际测试结果：[]
2016-09-05_16_03_36 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-05_16_37_48 	NORMAL    	Executing precommand
2016-09-05_16_37_48 	NORMAL    	Executing steps
2016-09-05_16_37_48 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-05_16_37_50 	PASS      		Step pass.
2016-09-05_16_37_50 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-05_16_37_50 	PASS      		Step pass.
2016-09-05_16_37_50 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-05_16_37_51 	PASS      		Step pass.
2016-09-05_16_37_51 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-05_16_37_51 	PASS      		Step pass.
2016-09-05_16_37_51 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-05_16_37_51 	PASS      		Step pass.
2016-09-05_16_37_51 	NORMAL    	Executing postcommand
2016-09-05_16_37_51 	NORMAL    	Executing verify
2016-09-05_16_37_51 	NORMAL    		实际测试结果：[]
2016-09-05_16_37_51 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-05_16_39_29 	NORMAL    	Executing precommand
2016-09-05_16_39_29 	NORMAL    	Executing steps
2016-09-05_16_39_29 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-05_16_39_31 	PASS      		Step pass.
2016-09-05_16_39_31 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-05_16_39_32 	PASS      		Step pass.
2016-09-05_16_39_32 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-05_16_39_32 	PASS      		Step pass.
2016-09-05_16_39_32 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-05_16_39_32 	PASS      		Step pass.
2016-09-05_16_39_32 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-05_16_39_32 	PASS      		Step pass.
2016-09-05_16_39_32 	NORMAL    	Executing postcommand
2016-09-05_16_39_32 	NORMAL    	Executing verify
2016-09-05_16_39_32 	NORMAL    		实际测试结果：[]
2016-09-05_16_39_32 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-05_16_46_35 	NORMAL    	Executing precommand
2016-09-05_16_46_35 	NORMAL    	Executing steps
2016-09-05_16_46_35 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-05_16_46_37 	PASS      		Step pass.
2016-09-05_16_46_37 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-05_16_46_38 	PASS      		Step pass.
2016-09-05_16_46_38 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-05_16_46_38 	PASS      		Step pass.
2016-09-05_16_46_38 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-05_16_46_38 	PASS      		Step pass.
2016-09-05_16_46_38 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-05_16_46_38 	PASS      		Step pass.
2016-09-05_16_46_38 	NORMAL    	Executing postcommand
2016-09-05_16_46_38 	NORMAL    	Executing verify
2016-09-05_16_46_38 	NORMAL    		实际测试结果：[]
2016-09-05_16_46_38 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-05_16_48_06 	NORMAL    	Executing precommand
2016-09-05_16_48_06 	NORMAL    	Executing steps
2016-09-05_16_48_06 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-05_16_48_08 	PASS      		Step pass.
2016-09-05_16_48_08 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-05_16_48_09 	PASS      		Step pass.
2016-09-05_16_48_09 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-05_16_48_10 	PASS      		Step pass.
