
**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-29_15_47_57 	NORMAL    	Executing precommand
2016-09-29_15_47_57 	NORMAL    	Executing steps
2016-09-29_15_47_57 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")

**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-29_15_50_51 	NORMAL    	Executing precommand
2016-09-29_15_50_51 	NORMAL    	Executing steps
2016-09-29_15_50_51 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")

**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-29_15_54_01 	NORMAL    	Executing precommand
2016-09-29_15_54_01 	NORMAL    	Executing steps
2016-09-29_15_54_01 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")

**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-29_15_55_27 	NORMAL    	Executing precommand
2016-09-29_15_55_27 	NORMAL    	Executing steps
2016-09-29_15_55_27 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")

**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-29_16_06_06 	NORMAL    	Executing precommand
2016-09-29_16_06_06 	NORMAL    	Executing steps
2016-09-29_16_06_06 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")

**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-29_16_07_01 	NORMAL    	Executing precommand
2016-09-29_16_07_01 	NORMAL    	Executing steps
2016-09-29_16_07_01 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")
2016-09-29_16_07_01 	ERROR     	'str' object has no attribute 'find_elements'

**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-29_16_08_08 	NORMAL    	Executing precommand
2016-09-29_16_08_08 	NORMAL    	Executing steps
2016-09-29_16_08_08 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")
2016-09-29_16_08_11 	PASS      		Step pass.
2016-09-29_16_08_11 	NORMAL    	Executing postcommand
2016-09-29_16_08_11 	NORMAL    	Executing verify
2016-09-29_16_08_11 	NORMAL    		实际测试结果：[]
2016-09-29_16_08_11 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-29_16_09_08 	NORMAL    	Executing precommand
2016-09-29_16_09_08 	NORMAL    	Executing steps
2016-09-29_16_09_08 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")
2016-09-29_16_09_12 	PASS      		Step pass.
2016-09-29_16_09_12 	NORMAL    	Executing postcommand
2016-09-29_16_09_12 	NORMAL    	Executing verify
2016-09-29_16_09_12 	NORMAL    		实际测试结果：[]
2016-09-29_16_09_12 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-29_16_10_02 	NORMAL    	Executing precommand
2016-09-29_16_10_02 	NORMAL    	Executing steps
2016-09-29_16_10_02 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")
2016-09-29_16_10_02 	ERROR     	'str' object has no attribute 'find_elements'

**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-29_16_10_30 	NORMAL    	Executing precommand
2016-09-29_16_10_30 	NORMAL    	Executing steps
2016-09-29_16_10_30 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")
2016-09-29_16_10_34 	PASS      		Step pass.
2016-09-29_16_10_34 	NORMAL    	Executing postcommand
2016-09-29_16_10_34 	NORMAL    	Executing verify
2016-09-29_16_10_34 	NORMAL    		实际测试结果：[]
2016-09-29_16_10_34 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a6[]]  ***************
2016-09-29_16_12_54 	NORMAL    	Executing precommand
2016-09-29_16_12_54 	NORMAL    	Executing steps
2016-09-29_16_12_54 	STEP      		Step_1_info->LoginPC.TextUserName.TypeInWin("Hello MUIA.")
