
**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_10_47_02 	NORMAL    	Executing precommand
2016-09-29_10_47_02 	NORMAL    	Executing steps
2016-09-29_10_47_02 	NORMAL    	Executing postcommand
2016-09-29_10_47_02 	NORMAL    	Executing verify
2016-09-29_10_47_02 	NORMAL    		实际测试结果：[]
2016-09-29_10_47_02 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_11_10_32 	NORMAL    	Executing precommand
2016-09-29_11_10_32 	NORMAL    	Executing steps
2016-09-29_11_10_32 	NORMAL    	Executing postcommand
2016-09-29_11_10_32 	NORMAL    	Executing verify

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_11_11_18 	NORMAL    	Executing precommand
2016-09-29_11_11_18 	NORMAL    	Executing steps
2016-09-29_11_11_18 	NORMAL    	Executing postcommand
2016-09-29_11_11_18 	NORMAL    	Executing verify
2016-09-29_11_11_18 	NORMAL    		实际测试结果：[]
2016-09-29_11_11_18 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_11_22_53 	NORMAL    	Executing precommand
2016-09-29_11_22_53 	NORMAL    	Executing steps
2016-09-29_11_22_53 	NORMAL    	Executing postcommand
2016-09-29_11_22_53 	NORMAL    	Executing verify
2016-09-29_11_22_53 	NORMAL    		实际测试结果：[]
2016-09-29_11_22_53 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_11_24_35 	NORMAL    	Executing precommand
2016-09-29_11_24_35 	NORMAL    	Executing steps
2016-09-29_11_24_35 	NORMAL    	Executing postcommand
2016-09-29_11_24_35 	NORMAL    	Executing verify
2016-09-29_11_24_35 	NORMAL    		实际测试结果：[]
2016-09-29_11_24_35 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_11_24_44 	NORMAL    	Executing precommand
2016-09-29_11_24_44 	NORMAL    	Executing steps
2016-09-29_11_24_44 	NORMAL    	Executing postcommand
2016-09-29_11_24_44 	NORMAL    	Executing verify
2016-09-29_11_24_44 	NORMAL    		实际测试结果：[]
2016-09-29_11_24_44 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_11_25_50 	NORMAL    	Executing precommand
2016-09-29_11_25_50 	NORMAL    	Executing steps
2016-09-29_11_25_50 	NORMAL    	Executing postcommand
2016-09-29_11_25_50 	NORMAL    	Executing verify
2016-09-29_11_25_50 	NORMAL    		实际测试结果：[]
2016-09-29_11_25_50 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_11_26_35 	NORMAL    	Executing precommand
2016-09-29_11_26_35 	NORMAL    	Executing steps
2016-09-29_11_26_35 	NORMAL    	Executing postcommand
2016-09-29_11_26_35 	NORMAL    	Executing verify
2016-09-29_11_26_35 	NORMAL    		实际测试结果：[]
2016-09-29_11_26_35 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_11_28_29 	NORMAL    	Executing precommand
2016-09-29_11_28_29 	NORMAL    	Executing steps
2016-09-29_11_28_29 	NORMAL    	Executing postcommand
2016-09-29_11_28_29 	NORMAL    	Executing verify
2016-09-29_11_28_29 	NORMAL    		实际测试结果：[]
2016-09-29_11_28_29 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_11_30_46 	NORMAL    	Executing precommand
2016-09-29_11_30_46 	NORMAL    	Executing steps
2016-09-29_11_30_46 	NORMAL    	Executing postcommand
2016-09-29_11_30_46 	NORMAL    	Executing verify
2016-09-29_11_30_46 	NORMAL    		实际测试结果：[]
2016-09-29_11_30_46 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_11_33_13 	NORMAL    	Executing precommand
2016-09-29_11_33_13 	NORMAL    	Executing steps
2016-09-29_11_33_13 	NORMAL    	Executing postcommand
2016-09-29_11_33_13 	NORMAL    	Executing verify
2016-09-29_11_33_13 	NORMAL    		实际测试结果：[]
2016-09-29_11_33_13 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_11_35_28 	NORMAL    	Executing precommand
2016-09-29_11_35_28 	NORMAL    	Executing steps
2016-09-29_11_35_28 	NORMAL    	Executing postcommand
2016-09-29_11_35_28 	NORMAL    	Executing verify
2016-09-29_11_35_28 	NORMAL    		实际测试结果：[]
2016-09-29_11_35_28 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_11_37_38 	NORMAL    	Executing precommand
2016-09-29_11_37_38 	NORMAL    	Executing steps
2016-09-29_11_37_38 	NORMAL    	Executing postcommand
2016-09-29_11_37_38 	NORMAL    	Executing verify
2016-09-29_11_37_38 	NORMAL    		实际测试结果：[]
2016-09-29_11_37_38 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_11_38_25 	NORMAL    	Executing precommand
2016-09-29_11_38_25 	NORMAL    	Executing steps
2016-09-29_11_38_25 	NORMAL    	Executing postcommand
2016-09-29_11_38_25 	NORMAL    	Executing verify
2016-09-29_11_38_25 	NORMAL    		实际测试结果：[]
2016-09-29_11_38_25 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_11_42_53 	NORMAL    	Executing precommand
2016-09-29_11_42_53 	NORMAL    	Executing steps
2016-09-29_11_42_53 	NORMAL    	Executing postcommand
2016-09-29_11_42_53 	NORMAL    	Executing verify
2016-09-29_11_42_53 	NORMAL    		实际测试结果：[]
2016-09-29_11_42_53 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_11_43_35 	NORMAL    	Executing precommand
2016-09-29_11_43_35 	NORMAL    	Executing steps
2016-09-29_11_43_35 	NORMAL    	Executing postcommand
2016-09-29_11_43_35 	NORMAL    	Executing verify
2016-09-29_11_43_35 	NORMAL    		实际测试结果：[]
2016-09-29_11_43_35 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_13_45_04 	NORMAL    	Executing precommand
2016-09-29_13_45_04 	NORMAL    	Executing steps
2016-09-29_13_45_04 	NORMAL    	Executing postcommand
2016-09-29_13_45_04 	NORMAL    	Executing verify
2016-09-29_13_45_04 	NORMAL    		实际测试结果：[]
2016-09-29_13_45_04 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_13_56_10 	NORMAL    	Executing precommand
2016-09-29_13_56_10 	NORMAL    	Executing steps
2016-09-29_13_56_10 	NORMAL    	Executing postcommand
2016-09-29_13_56_10 	NORMAL    	Executing verify
2016-09-29_13_56_10 	NORMAL    		实际测试结果：[]
2016-09-29_13_56_10 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-29_13_57_31 	NORMAL    	Executing precommand
2016-09-29_13_57_31 	NORMAL    	Executing steps
2016-09-29_13_57_31 	NORMAL    	Executing postcommand
2016-09-29_13_57_31 	NORMAL    	Executing verify
2016-09-29_13_57_31 	NORMAL    		实际测试结果：[]
2016-09-29_13_57_31 	PASS      		Verify complete.[前置操作]

