
**************  Bruce Luo(罗科峰)'s sample test [a7[]]  ***************
2016-09-29_16_07_02 	NORMAL    	Executing precommand
2016-09-29_16_07_02 	NORMAL    	Executing steps
2016-09-29_16_07_02 	STEP      		Step_1_info->LoginPC.PwdUser.IsPassword()    2.LoginPC.PwdUser.TypeInWin("123456")
2016-09-29_16_07_02 	ERROR     	invalid syntax

**************  Bruce Luo(罗科峰)'s sample test [a7[]]  ***************
2016-09-29_16_10_03 	NORMAL    	Executing precommand
2016-09-29_16_10_03 	NORMAL    	Executing steps
2016-09-29_16_10_03 	STEP      		Step_1_info->LoginPC.PwdUser.IsPassword()    2.LoginPC.PwdUser.TypeInWin("123456")
2016-09-29_16_10_03 	ERROR     	invalid syntax

**************  Bruce Luo(罗科峰)'s sample test [a7[]]  ***************
2016-09-29_16_10_35 	NORMAL    	Executing precommand
2016-09-29_16_10_35 	NORMAL    	Executing steps
2016-09-29_16_10_35 	STEP      		Step_1_info->LoginPC.PwdUser.IsPassword()    2.LoginPC.PwdUser.TypeInWin("123456")
2016-09-29_16_10_35 	ERROR     	invalid syntax

**************  Bruce Luo(罗科峰)'s sample test [a7[]]  ***************
2016-09-29_16_12_31 	NORMAL    	Executing precommand
2016-09-29_16_12_31 	NORMAL    	Executing steps
2016-09-29_16_12_31 	STEP      		Step_1_info->LoginPC.PwdUser.IsPassword()
2016-09-29_16_12_31 	ERROR     	'str' object has no attribute 'find_elements'

**************  Bruce Luo(罗科峰)'s sample test [a7[]]  ***************
2016-09-29_16_12_59 	NORMAL    	Executing precommand
2016-09-29_16_12_59 	NORMAL    	Executing steps
2016-09-29_16_12_59 	STEP      		Step_1_info->LoginPC.PwdUser.IsPassword()
2016-09-29_16_13_02 	PASS      		Step pass.
2016-09-29_16_13_02 	STEP      		Step_2_info->LoginPC.PwdUser.TypeInWin("123456")
2016-09-29_16_13_06 	PASS      		Step pass.
2016-09-29_16_13_06 	STEP      		Step_3_info->LoginPC.CkbIsSavePwd.Name()
2016-09-29_16_13_09 	PASS      		Step pass.
2016-09-29_16_13_09 	STEP      		Step_4_info->LoginPC.CkbIsSavePwd.SwitchToggle()
