
**************  Bruce Luo(罗科峰)'s sample test [a2[]]  ***************
2016-09-30_09_45_26 	NORMAL    	Executing precommand
2016-09-30_09_45_26 	NORMAL    	Executing steps
2016-09-30_09_45_26 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-30_09_45_27 	PASS      		Step pass.
2016-09-30_09_45_27 	NORMAL    	Executing postcommand
2016-09-30_09_45_27 	NORMAL    	Executing verify
2016-09-30_09_45_27 	NORMAL    		实际测试结果：[]
2016-09-30_09_45_27 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a2[]]  ***************
2016-09-30_11_54_24 	NORMAL    	Executing precommand
2016-09-30_11_54_24 	NORMAL    	Executing steps
2016-09-30_11_54_24 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-30_11_54_24 	PASS      		Step pass.
2016-09-30_11_54_24 	NORMAL    	Executing postcommand
2016-09-30_11_54_24 	NORMAL    	Executing verify
2016-09-30_11_54_24 	NORMAL    		实际测试结果：[]
2016-09-30_11_54_24 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a2[]]  ***************
2016-09-30_11_57_52 	NORMAL    	Executing precommand
2016-09-30_11_57_52 	NORMAL    	Executing steps
2016-09-30_11_57_52 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-30_11_57_52 	PASS      		Step pass.
2016-09-30_11_57_52 	NORMAL    	Executing postcommand
2016-09-30_11_57_52 	NORMAL    	Executing verify
2016-09-30_11_57_52 	NORMAL    		实际测试结果：[]
2016-09-30_11_57_52 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a2[]]  ***************
2016-09-30_14_42_24 	NORMAL    	Executing precommand
2016-09-30_14_42_24 	NORMAL    	Executing steps
2016-09-30_14_42_24 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-30_14_42_24 	PASS      		Step pass.
2016-09-30_14_42_24 	NORMAL    	Executing postcommand
2016-09-30_14_42_24 	NORMAL    	Executing verify
2016-09-30_14_42_24 	NORMAL    		实际测试结果：[]
2016-09-30_14_42_24 	PASS      		Verify complete.[Start example test.]
