
**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-22_20_49_35 	NORMAL    	Executing precommand
2016-09-22_20_49_35 	NORMAL    	Executing steps
2016-09-22_20_49_35 	NORMAL    	Executing postcommand
2016-09-22_20_49_35 	NORMAL    	Executing verify
2016-09-22_20_49_35 	NORMAL    		实际测试结果：[]
2016-09-22_20_49_35 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-22_20_51_04 	NORMAL    	Executing precommand
2016-09-22_20_51_04 	NORMAL    	Executing steps
2016-09-22_20_51_04 	NORMAL    	Executing postcommand
2016-09-22_20_51_04 	NORMAL    	Executing verify
2016-09-22_20_51_04 	NORMAL    		实际测试结果：[]
2016-09-22_20_51_04 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-22_20_51_44 	NORMAL    	Executing precommand
2016-09-22_20_51_44 	NORMAL    	Executing steps
2016-09-22_20_51_44 	NORMAL    	Executing postcommand
2016-09-22_20_51_44 	NORMAL    	Executing verify
2016-09-22_20_51_44 	NORMAL    		实际测试结果：[]
2016-09-22_20_51_44 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-22_20_52_26 	NORMAL    	Executing precommand
2016-09-22_20_52_26 	NORMAL    	Executing steps
2016-09-22_20_52_26 	NORMAL    	Executing postcommand
2016-09-22_20_52_26 	NORMAL    	Executing verify
2016-09-22_20_52_26 	NORMAL    		实际测试结果：[]
2016-09-22_20_52_26 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-22_20_54_13 	NORMAL    	Executing precommand
2016-09-22_20_54_13 	NORMAL    	Executing steps
2016-09-22_20_54_13 	NORMAL    	Executing postcommand
2016-09-22_20_54_13 	NORMAL    	Executing verify
2016-09-22_20_54_13 	NORMAL    		实际测试结果：[]
2016-09-22_20_54_13 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-22_20_58_15 	NORMAL    	Executing precommand
2016-09-22_20_58_15 	NORMAL    	Executing steps
2016-09-22_20_58_15 	NORMAL    	Executing postcommand
2016-09-22_20_58_15 	NORMAL    	Executing verify
2016-09-22_20_58_15 	ERROR     	'module' object has no attribute 'Result'

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-22_20_58_30 	NORMAL    	Executing precommand
2016-09-22_20_58_30 	NORMAL    	Executing steps
2016-09-22_20_58_30 	NORMAL    	Executing postcommand
2016-09-22_20_58_30 	NORMAL    	Executing verify
2016-09-22_20_58_30 	ERROR     	'module' object has no attribute 'Result'

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-22_20_58_51 	NORMAL    	Executing precommand
2016-09-22_20_58_51 	NORMAL    	Executing steps
2016-09-22_20_58_51 	NORMAL    	Executing postcommand
2016-09-22_20_58_51 	NORMAL    	Executing verify
2016-09-22_20_58_51 	ERROR     	'module' object has no attribute 'Result'

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-22_21_00_20 	NORMAL    	Executing precommand
2016-09-22_21_00_20 	NORMAL    	Executing steps
2016-09-22_21_00_20 	NORMAL    	Executing postcommand
2016-09-22_21_00_20 	NORMAL    	Executing verify
2016-09-22_21_00_20 	NORMAL    		实际测试结果：[]
2016-09-22_21_00_20 	PASS      		Verify complete.[前置操作]
