
**************  Bruce Luo(罗科峰)'s sample test [a3[]]  ***************
2016-09-29_11_22_57 	NORMAL    	Executing precommand
2016-09-29_11_22_57 	NORMAL    	Executing steps
2016-09-29_11_22_57 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-29_11_22_57 	PASS      		Step pass.
2016-09-29_11_22_57 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-29_11_23_07 	ERROR     	Timeout at 10 seconds.Element(id) not found.

**************  Bruce Luo(罗科峰)'s sample test [a3[]]  ***************
2016-09-29_11_24_48 	NORMAL    	Executing precommand
2016-09-29_11_24_48 	NORMAL    	Executing steps
2016-09-29_11_24_48 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-29_11_24_48 	PASS      		Step pass.
2016-09-29_11_24_48 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-29_11_24_59 	ERROR     	Timeout at 10 seconds.Element(id) not found.

**************  Bruce Luo(罗科峰)'s sample test [a3[]]  ***************
2016-09-29_11_25_54 	NORMAL    	Executing precommand
2016-09-29_11_25_54 	NORMAL    	Executing steps
2016-09-29_11_25_54 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-29_11_25_54 	PASS      		Step pass.
2016-09-29_11_25_54 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-29_11_26_04 	ERROR     	Timeout at 10 seconds.Element(id) not found.

**************  Bruce Luo(罗科峰)'s sample test [a3[]]  ***************
2016-09-29_11_26_38 	NORMAL    	Executing precommand
2016-09-29_11_26_38 	NORMAL    	Executing steps
2016-09-29_11_26_38 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-29_11_26_38 	PASS      		Step pass.
2016-09-29_11_26_38 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-29_11_26_49 	ERROR     	Timeout at 10 seconds.Element(id) not found.

**************  Bruce Luo(罗科峰)'s sample test [a3[]]  ***************
2016-09-29_11_28_32 	NORMAL    	Executing precommand
2016-09-29_11_28_32 	NORMAL    	Executing steps
2016-09-29_11_28_32 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-29_11_28_32 	PASS      		Step pass.
2016-09-29_11_28_32 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-29_11_28_33 	PASS      		Step pass.
2016-09-29_11_28_33 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-29_11_28_33 	PASS      		Step pass.
2016-09-29_11_28_33 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-29_11_28_33 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'

**************  Bruce Luo(罗科峰)'s sample test [a3[]]  ***************
2016-09-29_11_30_49 	NORMAL    	Executing precommand
2016-09-29_11_30_49 	NORMAL    	Executing steps
