
**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-30_09_43_34 	NORMAL    	Executing precommand
2016-09-30_09_43_34 	NORMAL    	Executing steps
2016-09-30_09_43_34 	NORMAL    	Executing postcommand
2016-09-30_09_43_34 	NORMAL    	Executing verify
2016-09-30_09_43_34 	NORMAL    		实际测试结果：[]
2016-09-30_09_43_34 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-30_09_45_28 	NORMAL    	Executing precommand
2016-09-30_09_45_28 	NORMAL    	Executing steps
2016-09-30_09_45_28 	NORMAL    	Executing postcommand
2016-09-30_09_45_28 	NORMAL    	Executing verify
2016-09-30_09_45_28 	NORMAL    		实际测试结果：[]
2016-09-30_09_45_28 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-30_10_50_17 	NORMAL    	Executing precommand
2016-09-30_10_50_17 	NORMAL    	Executing steps
2016-09-30_10_50_17 	NORMAL    	Executing postcommand
2016-09-30_10_50_17 	NORMAL    	Executing verify
2016-09-30_10_50_17 	NORMAL    		实际测试结果：[]
2016-09-30_10_50_17 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-30_10_50_56 	NORMAL    	Executing precommand
2016-09-30_10_50_56 	NORMAL    	Executing steps
2016-09-30_10_50_56 	NORMAL    	Executing postcommand
2016-09-30_10_50_56 	NORMAL    	Executing verify
2016-09-30_10_50_56 	NORMAL    		实际测试结果：[]
2016-09-30_10_50_56 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-30_11_01_25 	NORMAL    	Executing precommand
2016-09-30_11_01_25 	NORMAL    	Executing steps
2016-09-30_11_01_25 	NORMAL    	Executing postcommand
2016-09-30_11_01_25 	NORMAL    	Executing verify
2016-09-30_11_01_25 	NORMAL    		实际测试结果：[]
2016-09-30_11_01_25 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-30_11_02_19 	NORMAL    	Executing precommand
2016-09-30_11_02_19 	NORMAL    	Executing steps
2016-09-30_11_02_19 	NORMAL    	Executing postcommand
2016-09-30_11_02_19 	NORMAL    	Executing verify
2016-09-30_11_02_19 	NORMAL    		实际测试结果：[]
2016-09-30_11_02_19 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-30_11_07_39 	NORMAL    	Executing precommand
2016-09-30_11_07_39 	NORMAL    	Executing steps
2016-09-30_11_07_39 	NORMAL    	Executing postcommand
2016-09-30_11_07_39 	NORMAL    	Executing verify
2016-09-30_11_07_39 	NORMAL    		实际测试结果：[]
2016-09-30_11_07_39 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-30_11_09_23 	NORMAL    	Executing precommand
2016-09-30_11_09_23 	NORMAL    	Executing steps
2016-09-30_11_09_23 	NORMAL    	Executing postcommand
2016-09-30_11_09_23 	NORMAL    	Executing verify
2016-09-30_11_09_23 	NORMAL    		实际测试结果：[]
2016-09-30_11_09_23 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-30_11_36_04 	NORMAL    	Executing precommand
2016-09-30_11_36_04 	NORMAL    	Executing steps
2016-09-30_11_36_04 	NORMAL    	Executing postcommand
2016-09-30_11_36_04 	NORMAL    	Executing verify
2016-09-30_11_36_04 	NORMAL    		实际测试结果：[]
2016-09-30_11_36_04 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-30_11_36_48 	NORMAL    	Executing precommand
2016-09-30_11_36_48 	NORMAL    	Executing steps
2016-09-30_11_36_48 	NORMAL    	Executing postcommand
2016-09-30_11_36_48 	NORMAL    	Executing verify
2016-09-30_11_36_48 	NORMAL    		实际测试结果：[]
2016-09-30_11_36_48 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-30_11_50_21 	NORMAL    	Executing precommand
2016-09-30_11_50_21 	NORMAL    	Executing steps
2016-09-30_11_50_21 	NORMAL    	Executing postcommand
2016-09-30_11_50_21 	NORMAL    	Executing verify
2016-09-30_11_50_21 	NORMAL    		实际测试结果：[]
2016-09-30_11_50_21 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-30_11_54_25 	NORMAL    	Executing precommand
2016-09-30_11_54_25 	NORMAL    	Executing steps
2016-09-30_11_54_25 	NORMAL    	Executing postcommand
2016-09-30_11_54_25 	NORMAL    	Executing verify
2016-09-30_11_54_25 	NORMAL    		实际测试结果：[]
2016-09-30_11_54_25 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-30_11_57_53 	NORMAL    	Executing precommand
2016-09-30_11_57_53 	NORMAL    	Executing steps
2016-09-30_11_57_53 	NORMAL    	Executing postcommand
2016-09-30_11_57_53 	NORMAL    	Executing verify
2016-09-30_11_57_53 	NORMAL    		实际测试结果：[]
2016-09-30_11_57_53 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a5[]]  ***************
2016-09-30_14_42_26 	NORMAL    	Executing precommand
2016-09-30_14_42_26 	NORMAL    	Executing steps
2016-09-30_14_42_26 	NORMAL    	Executing postcommand
2016-09-30_14_42_26 	NORMAL    	Executing verify
2016-09-30_14_42_26 	NORMAL    		实际测试结果：[]
2016-09-30_14_42_26 	PASS      		Verify complete.[Start example test.]
