
**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-06_11_07_21 	NORMAL    	Executing precommand
2016-09-06_11_07_21 	NORMAL    	Executing steps
2016-09-06_11_07_21 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-06_11_07_23 	PASS      		Step pass.
2016-09-06_11_07_23 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-06_11_07_24 	PASS      		Step pass.
2016-09-06_11_07_24 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-06_11_07_25 	PASS      		Step pass.
2016-09-06_11_07_25 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-06_11_07_25 	PASS      		Step pass.
2016-09-06_11_07_25 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-06_11_07_25 	PASS      		Step pass.
2016-09-06_11_07_25 	NORMAL    	Executing postcommand
2016-09-06_11_07_25 	NORMAL    	Executing verify
2016-09-06_11_07_25 	NORMAL    		实际测试结果：[]
2016-09-06_11_07_25 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-06_14_03_02 	NORMAL    	Executing precommand
2016-09-06_14_03_02 	NORMAL    	Executing steps
2016-09-06_14_03_02 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-06_14_03_03 	PASS      		Step pass.
2016-09-06_14_03_03 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-06_14_03_04 	PASS      		Step pass.
2016-09-06_14_03_04 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-06_14_03_05 	PASS      		Step pass.
2016-09-06_14_03_05 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-06_14_03_05 	PASS      		Step pass.
2016-09-06_14_03_05 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-06_14_03_05 	PASS      		Step pass.
2016-09-06_14_03_05 	NORMAL    	Executing postcommand
2016-09-06_14_03_05 	NORMAL    	Executing verify
2016-09-06_14_03_05 	NORMAL    		实际测试结果：[]
2016-09-06_14_03_05 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-06_19_45_21 	NORMAL    	Executing precommand
2016-09-06_19_45_21 	NORMAL    	Executing steps
2016-09-06_19_45_21 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-06_19_45_22 	PASS      		Step pass.
2016-09-06_19_45_22 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-06_19_45_23 	PASS      		Step pass.
2016-09-06_19_45_23 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-06_19_45_23 	PASS      		Step pass.
2016-09-06_19_45_23 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-06_19_45_23 	PASS      		Step pass.
2016-09-06_19_45_23 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-06_19_45_23 	PASS      		Step pass.
2016-09-06_19_45_23 	NORMAL    	Executing postcommand
2016-09-06_19_45_23 	NORMAL    	Executing verify
2016-09-06_19_45_23 	NORMAL    		实际测试结果：[]
2016-09-06_19_45_23 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-06_19_46_11 	NORMAL    	Executing precommand
