
**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-21_09_26_52 	NORMAL    	Executing precommand
2016-09-21_09_26_52 	NORMAL    	Executing steps
2016-09-21_09_26_52 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-21_09_26_54 	PASS      		Step pass.
2016-09-21_09_26_54 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-21_09_26_55 	PASS      		Step pass.
2016-09-21_09_26_55 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-21_09_26_56 	PASS      		Step pass.
2016-09-21_09_26_56 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-21_09_26_56 	PASS      		Step pass.
2016-09-21_09_26_56 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-21_09_26_56 	PASS      		Step pass.
2016-09-21_09_26_56 	NORMAL    	Executing postcommand
2016-09-21_09_26_56 	NORMAL    	Executing verify
2016-09-21_09_26_56 	NORMAL    		实际测试结果：[]
2016-09-21_09_26_56 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-21_09_30_24 	NORMAL    	Executing precommand
2016-09-21_09_30_24 	NORMAL    	Executing steps
2016-09-21_09_30_24 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-21_09_30_26 	PASS      		Step pass.
2016-09-21_09_30_26 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-21_09_30_26 	PASS      		Step pass.
2016-09-21_09_30_26 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-21_09_30_27 	PASS      		Step pass.
2016-09-21_09_30_27 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-21_09_30_27 	PASS      		Step pass.
2016-09-21_09_30_27 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-21_09_30_27 	PASS      		Step pass.
2016-09-21_09_30_27 	NORMAL    	Executing postcommand
2016-09-21_09_30_27 	NORMAL    	Executing verify
2016-09-21_09_30_27 	NORMAL    		实际测试结果：[]
2016-09-21_09_30_27 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-21_09_30_44 	NORMAL    	Executing precommand
2016-09-21_09_30_44 	NORMAL    	Executing steps
2016-09-21_09_30_44 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-21_09_30_46 	PASS      		Step pass.
2016-09-21_09_30_46 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-21_09_30_47 	PASS      		Step pass.
2016-09-21_09_30_47 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-21_09_30_47 	PASS      		Step pass.
2016-09-21_09_30_47 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-21_09_30_47 	PASS      		Step pass.
2016-09-21_09_30_47 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-21_09_30_48 	PASS      		Step pass.
