
**************  Bruce Luo(罗科峰)'s sample test [4[3]]  ***************
2016-09-12_11_00_05 	NORMAL    	Executing precommand
2016-09-12_11_00_05 	NORMAL    	Executing steps
2016-09-12_11_00_05 	NORMAL    	Executing postcommand
2016-09-12_11_00_05 	NORMAL    	Executing verify
2016-09-12_11_00_05 	NORMAL    		实际测试结果：[]
2016-09-12_11_00_05 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [4[3]]  ***************
2016-09-12_11_09_42 	NORMAL    	Executing precommand
2016-09-12_11_09_42 	NORMAL    	Executing steps
2016-09-12_11_09_42 	NORMAL    	Executing postcommand
2016-09-12_11_09_42 	NORMAL    	Executing verify
2016-09-12_11_09_42 	NORMAL    		实际测试结果：[]
2016-09-12_11_09_42 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [4[3]]  ***************
2016-09-12_11_37_20 	NORMAL    	Executing precommand
2016-09-12_11_37_20 	NORMAL    	Executing steps
2016-09-12_11_37_20 	NORMAL    	Executing postcommand
2016-09-12_11_37_20 	NORMAL    	Executing verify
2016-09-12_11_37_20 	NORMAL    		实际测试结果：[]
2016-09-12_11_37_20 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [4[3]]  ***************
2016-09-12_11_38_29 	NORMAL    	Executing precommand
2016-09-12_11_38_29 	NORMAL    	Executing steps
2016-09-12_11_38_29 	NORMAL    	Executing postcommand
2016-09-12_11_38_29 	NORMAL    	Executing verify
2016-09-12_11_38_29 	NORMAL    		实际测试结果：[]
2016-09-12_11_38_29 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [4[3]]  ***************
2016-09-12_11_38_46 	NORMAL    	Executing precommand
2016-09-12_11_38_46 	NORMAL    	Executing steps
2016-09-12_11_38_46 	NORMAL    	Executing postcommand
2016-09-12_11_38_46 	NORMAL    	Executing verify
2016-09-12_11_38_46 	NORMAL    		实际测试结果：[]
2016-09-12_11_38_46 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [4[3]]  ***************
2016-09-12_11_40_21 	NORMAL    	Executing precommand
2016-09-12_11_40_21 	NORMAL    	Executing steps
2016-09-12_11_40_21 	NORMAL    	Executing postcommand
2016-09-12_11_40_21 	NORMAL    	Executing verify
2016-09-12_11_40_21 	NORMAL    		实际测试结果：[]
2016-09-12_11_40_21 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [4[3]]  ***************
2016-09-12_11_41_09 	NORMAL    	Executing precommand
2016-09-12_11_41_09 	NORMAL    	Executing steps
2016-09-12_11_41_09 	NORMAL    	Executing postcommand
2016-09-12_11_41_09 	NORMAL    	Executing verify
2016-09-12_11_41_09 	NORMAL    		实际测试结果：[]
2016-09-12_11_41_09 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [4[3]]  ***************
2016-09-12_11_42_17 	NORMAL    	Executing precommand
2016-09-12_11_42_17 	NORMAL    	Executing steps
2016-09-12_11_42_17 	NORMAL    	Executing postcommand
2016-09-12_11_42_17 	NORMAL    	Executing verify
2016-09-12_11_42_17 	NORMAL    		实际测试结果：[]
2016-09-12_11_42_17 	PASS      		Verify complete.[前置操作]
