
**************  Bruce Luo(罗科峰)'s sample test [5[asdf]]  ***************
2016-09-18_13_44_55 	NORMAL    	Executing precommand
2016-09-18_13_44_55 	NORMAL    	Executing steps
2016-09-18_13_44_55 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-18_13_44_57 	PASS      		Step pass.
2016-09-18_13_44_57 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-18_13_44_58 	PASS      		Step pass.
2016-09-18_13_44_58 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-18_13_44_58 	PASS      		Step pass.
2016-09-18_13_44_58 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-18_13_44_58 	PASS      		Step pass.
2016-09-18_13_44_58 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-18_13_44_59 	PASS      		Step pass.
2016-09-18_13_44_59 	NORMAL    	Executing postcommand
2016-09-18_13_44_59 	NORMAL    	Executing verify
2016-09-18_13_44_59 	NORMAL    		实际测试结果：[]
2016-09-18_13_44_59 	PASS      		Verify complete.[前置操作]
