
**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-18_09_44_41 	NORMAL    	Executing precommand
2016-09-18_09_44_41 	NORMAL    	Executing steps
2016-09-18_09_44_41 	NORMAL    	Executing postcommand
2016-09-18_09_44_41 	NORMAL    	Executing verify
2016-09-18_09_44_41 	NORMAL    		实际测试结果：[]
2016-09-18_09_44_41 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-18_11_59_07 	NORMAL    	Executing precommand
2016-09-18_11_59_07 	NORMAL    	Executing steps
2016-09-18_11_59_07 	NORMAL    	Executing postcommand
2016-09-18_11_59_07 	NORMAL    	Executing verify
2016-09-18_11_59_07 	NORMAL    		实际测试结果：[]
2016-09-18_11_59_07 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-18_13_45_00 	NORMAL    	Executing precommand
2016-09-18_13_45_00 	NORMAL    	Executing steps
2016-09-18_13_45_00 	NORMAL    	Executing postcommand
2016-09-18_13_45_00 	NORMAL    	Executing verify
2016-09-18_13_45_00 	NORMAL    		实际测试结果：[]
2016-09-18_13_45_00 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-18_13_46_54 	NORMAL    	Executing precommand
2016-09-18_13_46_54 	NORMAL    	Executing steps
2016-09-18_13_46_54 	NORMAL    	Executing postcommand
2016-09-18_13_46_54 	NORMAL    	Executing verify
2016-09-18_13_46_54 	NORMAL    		实际测试结果：[]
2016-09-18_13_46_54 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-18_14_23_16 	NORMAL    	Executing precommand
2016-09-18_14_23_16 	NORMAL    	Executing steps
2016-09-18_14_23_16 	NORMAL    	Executing postcommand
2016-09-18_14_23_16 	NORMAL    	Executing verify
2016-09-18_14_23_16 	NORMAL    		实际测试结果：[]
2016-09-18_14_23_16 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-18_16_39_48 	NORMAL    	Executing precommand
2016-09-18_16_39_48 	NORMAL    	Executing steps
2016-09-18_16_39_48 	NORMAL    	Executing postcommand
2016-09-18_16_39_48 	NORMAL    	Executing verify
2016-09-18_16_39_48 	NORMAL    		实际测试结果：[]
2016-09-18_16_39_48 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-18_16_57_53 	NORMAL    	Executing precommand
2016-09-18_16_57_53 	NORMAL    	Executing steps
2016-09-18_16_57_53 	NORMAL    	Executing postcommand
2016-09-18_16_57_53 	NORMAL    	Executing verify
2016-09-18_16_57_53 	NORMAL    		实际测试结果：[]
2016-09-18_16_57_53 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-18_17_05_34 	NORMAL    	Executing precommand
2016-09-18_17_05_34 	NORMAL    	Executing steps
2016-09-18_17_05_34 	NORMAL    	Executing postcommand
2016-09-18_17_05_34 	NORMAL    	Executing verify
2016-09-18_17_05_34 	NORMAL    		实际测试结果：[]
2016-09-18_17_05_34 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-18_17_23_16 	NORMAL    	Executing precommand
2016-09-18_17_23_16 	NORMAL    	Executing steps
2016-09-18_17_23_16 	NORMAL    	Executing postcommand
2016-09-18_17_23_16 	NORMAL    	Executing verify
2016-09-18_17_23_16 	NORMAL    		实际测试结果：[]
2016-09-18_17_23_16 	PASS      		Verify complete.[前置操作]
