
**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-21_09_26_52 	NORMAL    	Executing precommand
2016-09-21_09_26_52 	NORMAL    	Executing steps
2016-09-21_09_26_52 	NORMAL    	Executing postcommand
2016-09-21_09_26_52 	NORMAL    	Executing verify
2016-09-21_09_26_52 	NORMAL    		实际测试结果：[]
2016-09-21_09_26_52 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-21_09_30_23 	NORMAL    	Executing precommand
2016-09-21_09_30_23 	NORMAL    	Executing steps
2016-09-21_09_30_23 	NORMAL    	Executing postcommand
2016-09-21_09_30_23 	NORMAL    	Executing verify
2016-09-21_09_30_23 	NORMAL    		实际测试结果：[]
2016-09-21_09_30_23 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-21_09_30_44 	NORMAL    	Executing precommand
2016-09-21_09_30_44 	NORMAL    	Executing steps
2016-09-21_09_30_44 	NORMAL    	Executing postcommand
2016-09-21_09_30_44 	NORMAL    	Executing verify
2016-09-21_09_30_44 	NORMAL    		实际测试结果：[]
2016-09-21_09_30_44 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-21_10_22_19 	NORMAL    	Executing precommand
2016-09-21_10_22_19 	NORMAL    	Executing steps
2016-09-21_10_22_19 	NORMAL    	Executing postcommand
2016-09-21_10_22_19 	NORMAL    	Executing verify
2016-09-21_10_22_19 	NORMAL    		实际测试结果：[]
2016-09-21_10_22_19 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-21_10_22_27 	NORMAL    	Executing precommand
2016-09-21_10_22_27 	NORMAL    	Executing steps
2016-09-21_10_22_27 	NORMAL    	Executing postcommand
2016-09-21_10_22_27 	NORMAL    	Executing verify
2016-09-21_10_22_27 	NORMAL    		实际测试结果：[]
2016-09-21_10_22_27 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-21_10_31_39 	NORMAL    	Executing precommand
2016-09-21_10_31_39 	NORMAL    	Executing steps
2016-09-21_10_31_39 	NORMAL    	Executing postcommand
2016-09-21_10_31_39 	NORMAL    	Executing verify
2016-09-21_10_31_39 	NORMAL    		实际测试结果：[]
2016-09-21_10_31_39 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-21_10_34_33 	NORMAL    	Executing precommand
2016-09-21_10_34_33 	NORMAL    	Executing steps
2016-09-21_10_34_33 	NORMAL    	Executing postcommand
2016-09-21_10_34_33 	NORMAL    	Executing verify
2016-09-21_10_34_33 	NORMAL    		实际测试结果：[]
2016-09-21_10_34_33 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-21_10_35_14 	NORMAL    	Executing precommand
2016-09-21_10_35_14 	NORMAL    	Executing steps
2016-09-21_10_35_14 	NORMAL    	Executing postcommand
2016-09-21_10_35_14 	NORMAL    	Executing verify
2016-09-21_10_35_14 	NORMAL    		实际测试结果：[]
2016-09-21_10_35_14 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-21_10_36_11 	NORMAL    	Executing precommand
2016-09-21_10_36_11 	NORMAL    	Executing steps
2016-09-21_10_36_11 	NORMAL    	Executing postcommand
2016-09-21_10_36_11 	NORMAL    	Executing verify
2016-09-21_10_36_11 	NORMAL    		实际测试结果：[]
2016-09-21_10_36_11 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-21_10_38_51 	NORMAL    	Executing precommand
2016-09-21_10_38_51 	NORMAL    	Executing steps
2016-09-21_10_38_51 	NORMAL    	Executing postcommand
2016-09-21_10_38_51 	NORMAL    	Executing verify
2016-09-21_10_38_51 	NORMAL    		实际测试结果：[]
2016-09-21_10_38_51 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-21_15_25_24 	NORMAL    	Executing precommand
2016-09-21_15_25_24 	NORMAL    	Executing steps
2016-09-21_15_25_24 	NORMAL    	Executing postcommand
2016-09-21_15_25_24 	NORMAL    	Executing verify
2016-09-21_15_25_24 	NORMAL    		实际测试结果：[]
2016-09-21_15_25_24 	PASS      		Verify complete.[前置操作]
