
**************  Bruce Luo(罗科峰)'s sample test [6[]]  ***************
2016-09-14_11_25_46 	NORMAL    	Executing precommand
2016-09-14_11_25_46 	NORMAL    	Executing steps
2016-09-14_11_25_46 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-14_11_25_46 	PASS      		Step pass.
2016-09-14_11_25_46 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-14_11_25_57 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-14_11_25_57 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-14_11_25_57 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-14_11_25_57 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-14_11_25_57 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-14_11_25_57 	NORMAL    	Executing postcommand
2016-09-14_11_25_57 	NORMAL    	Executing verify
2016-09-14_11_25_57 	NORMAL    		实际测试结果：[]
2016-09-14_11_25_57 	PASS      		Verify complete.[前置操作]
